title,year,adrienne,anita,bob,chingti,david,gheorghe,gina,howard,jacqui,janice,joe,josee,kathy,kerrie,lisa,marty,mike,paola,serkalem,tim
11756058,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11824954,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12105290,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12403660,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12456912,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12520555,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12540415,2003,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12590413,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12615693,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12637344,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12765971,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12788901,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12877910,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12941677,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12966033,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14518026,2003,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14566097,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14600184,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14694215,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14716734,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
14975070,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14975097,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15019874,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15068501,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15122742,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15210652,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15234428,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15292370,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15313941,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15339995,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15342688,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15388521,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15562019,2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15569842,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15593090,2005,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15611369,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15735069,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15867473,2005,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15972604,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15998672,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16005459,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
