Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Rare Functional Variant in TM2D3 is Associated with Late-Onset Alzheimer's Disease.","/pubmed/27764101","Jakobsdottir J, van der Lee SJ, Bis JC, Chouraki V, Li-Kroeger D, Yamamoto S, Grove ML, Naj A, Vronskaya M, Salazar JL, DeStefano AL, Brody JA, Smith AV, Amin N, Sims R, Ibrahim-Verbaas CA, Choi SH, Satizabal CL, Lopez OL, Beiser A, Ikram MA, Garcia ME, et al.","PLoS Genet. 2016 Oct 20;12(10):e1006327. doi: 10.1371/journal.pgen.1006327.","PLoS Genet.  2016","PubMed","citation","PMID:27764101","pubmed","27764101","create date:2016/10/21 | first author:Jakobsdottir J",
"Novel microRNA discovery using small RNA sequencing in post-mortem human brain.","/pubmed/27716130","Wake C, Labadorf A, Dumitriu A, Hoss AG, Bregu J, Albrecht KH, DeStefano AL, Myers RH.","BMC Genomics. 2016 Oct 4;17(1):776.","BMC Genomics.  2016","PubMed","citation","PMID:27716130 | PMCID:PMC5050850","pubmed","27716130","create date:2016/10/08 | first author:Wake C",
"Novel genetic loci underlying human intracranial volume identified through genome-wide association.","/pubmed/27694991","Adams HH, Hibar DP, Chouraki V, Stein JL, Nyquist PA, Rentería ME, Trompet S, Arias-Vasquez A, Seshadri S, Desrivières S, Beecham AH, Jahanshad N, Wittfeld K, Van der Lee SJ, Abramovic L, Alhusaini S, Amin N, Andersson M, Arfanakis K, Aribisala BS, Armstrong NJ, Athanasiu L, et al.","Nat Neurosci. 2016 Oct 3. doi: 10.1038/nn.4398.","Nat Neurosci.  2016","PubMed","citation","PMID:27694991","pubmed","27694991","create date:2016/10/25 | first author:Adams HH",
"Evaluation of power of the Illumina HumanOmni5M-4v1 BeadChip to detect risk variants for human complex diseases.","/pubmed/26577045","Xing C, Huang J, Hsu YH, DeStefano AL, Heard-Costa NL, Wolf PA, Seshadri S, Kiel DP, Cupples LA, Dupuis J.","Eur J Hum Genet. 2016 Jul;24(7):1029-34. doi: 10.1038/ejhg.2015.244.","Eur J Hum Genet.  2016","PubMed","citation","PMID:26577045","pubmed","26577045","create date:2015/11/19 | first author:Xing C",
"Evaluation of a Genetic Risk Score to Improve Risk Prediction for Alzheimer's Disease.","/pubmed/27340842","Chouraki V, Reitz C, Maury F, Bis JC, Bellenguez C, Yu L, Jakobsdottir J, Mukherjee S, Adams HH, Choi SH, Larson EB, Fitzpatrick A, Uitterlinden AG, de Jager PL, Hofman A, Gudnason V, Vardarajan B, Ibrahim-Verbaas C, van der Lee SJ, Lopez O, Dartigues JF, Berr C, et al.","J Alzheimers Dis. 2016 Jun 18;53(3):921-32. doi: 10.3233/JAD-150749.","J Alzheimers Dis.  2016","PubMed","citation","PMID:27340842 | PMCID:PMC5036102","pubmed","27340842","create date:2016/06/25 | first author:Chouraki V",
"Six Novel Loci Associated with Circulating VEGF Levels Identified by a Meta-analysis of Genome-Wide Association Studies.","/pubmed/26910538","Choi SH, Ruggiero D, Sorice R, Song C, Nutile T, Vernon Smith A, Concas MP, Traglia M, Barbieri C, Ndiaye NC, Stathopoulou MG, Lagou V, Maestrale GB, Sala C, Debette S, Kovacs P, Lind L, Lamont J, Fitzgerald P, Tönjes A, Gudnason V, Toniolo D, et al.","PLoS Genet. 2016 Feb 24;12(2):e1005874. doi: 10.1371/journal.pgen.1005874.","PLoS Genet.  2016","PubMed","citation","PMID:26910538 | PMCID:PMC4766012","pubmed","26910538","create date:2016/02/26 | first author:Choi SH",
"Genome-wide linkage analyses of non-Hispanic white families identify novel loci for familial late-onset Alzheimer's disease.","/pubmed/26365416","Kunkle BW, Jaworski J, Barral S, Vardarajan B, Beecham GW, Martin ER, Cantwell LS, Partch A, Bird TD, Raskind WH, DeStefano AL, Carney RM, Cuccaro M, Vance JM, Farrer LA, Goate AM, Foroud T, Mayeux RP, Schellenberg GD, Haines JL, Pericak-Vance MA.","Alzheimers Dement. 2016 Jan;12(1):2-10. doi: 10.1016/j.jalz.2015.05.020.","Alzheimers Dement.  2016","PubMed","citation","PMID:26365416 | PMCID:PMC4717829","pubmed","26365416","create date:2015/09/15 | first author:Kunkle BW",
"Rare and Coding Region Genetic Variants Associated With Risk of Ischemic Stroke: The NHLBI Exome Sequence Project.","/pubmed/25961151","Auer PL, Nalls M, Meschia JF, Worrall BB, Longstreth WT Jr, Seshadri S, Kooperberg C, Burger KM, Carlson CS, Carty CL, Chen WM, Cupples LA, DeStefano AL, Fornage M, Hardy J, Hsu L, Jackson RD, Jarvik GP, Kim DS, Lakshminarayan K, Lange LA, Manichaikul A, et al.","JAMA Neurol. 2015 Jul;72(7):781-8. doi: 10.1001/jamaneurol.2015.0582.","JAMA Neurol.  2015","PubMed","citation","PMID:25961151 | PMCID:PMC4673986","pubmed","25961151","create date:2015/05/12 | first author:Auer PL",
"Polygenic Overlap Between C-Reactive Protein, Plasma Lipids, and Alzheimer Disease.","/pubmed/25862742","Desikan RS, Schork AJ, Wang Y, Thompson WK, Dehghan A, Ridker PM, Chasman DI, McEvoy LK, Holland D, Chen CH, Karow DS, Brewer JB, Hess CP, Williams J, Sims R, O'Donovan MC, Choi SH, Bis JC, Ikram MA, Gudnason V, DeStefano AL, van der Lee SJ, et al.","Circulation. 2015 Jun 9;131(23):2061-9. doi: 10.1161/CIRCULATIONAHA.115.015489.","Circulation.  2015","PubMed","citation","PMID:25862742 | PMCID:PMC4677995","pubmed","25862742","create date:2015/04/12 | first author:Desikan RS",
"Genome-wide studies of verbal declarative memory in nondemented older people: the Cohorts for Heart and Aging Research in Genomic Epidemiology consortium.","/pubmed/25648963","Debette S, Ibrahim Verbaas CA, Bressler J, Schuur M, Smith A, Bis JC, Davies G, Wolf C, Gudnason V, Chibnik LB, Yang Q, deStefano AL, de Quervain DJ, Srikanth V, Lahti J, Grabe HJ, Smith JA, Priebe L, Yu L, Karbalai N, Hayward C, Wilson JF, et al.","Biol Psychiatry. 2015 Apr 15;77(8):749-63. doi: 10.1016/j.biopsych.2014.08.027.","Biol Psychiatry.  2015","PubMed","citation","PMID:25648963 | PMCID:PMC4513651","pubmed","25648963","create date:2015/02/05 | first author:Debette S",
