Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Validation of Photograph-Based Toxicity Score for Topical 5-Fluorouracil Cream Application.","/pubmed/27207349","Pomerantz H, Korgavkar K, Lee KC, Lew R, Weinstock MA; VAKCC Trial Group..","J Cutan Med Surg. 2016 Sep;20(5):458-66. doi: 10.1177/1203475416643952.","J Cutan Med Surg.  2016","PubMed","citation","PMID:27207349","pubmed","27207349","create date:2016/05/22 | first author:Pomerantz H",
"Partnering with health system operations leadership to develop a controlled implementation trial.","/pubmed/26912342","Bauer MS, Miller C, Kim B, Lew R, Weaver K, Coldwell C, Henderson K, Holmes S, Seibert MN, Stolzmann K, Elwy AR, Kirchner J.","Implement Sci. 2016 Feb 24;11:22. doi: 10.1186/s13012-016-0385-7.","Implement Sci.  2016","PubMed","citation","PMID:26912342 | PMCID:PMC4765154","pubmed","26912342","create date:2016/02/26 | first author:Bauer MS",
"Statistical considerations for stopping systemic lupus erythematosus clinical trials earlier.","/pubmed/26634344","Lew RA, Liang MH, Doros G.","Arthritis Res Ther. 2015 Dec 4;17:345. doi: 10.1186/s13075-015-0874-0. Review.","Arthritis Res Ther.  2015","PubMed","citation","PMID:26634344 | PMCID:PMC4669672","pubmed","26634344","create date:2015/12/05 | first author:Lew RA",
"Long-term Efficacy of Topical Fluorouracil Cream, 5%, for Treating Actinic Keratosis: A Randomized Clinical Trial.","/pubmed/25950503","Pomerantz H, Hogan D, Eilers D, Swetter SM, Chen SC, Jacob SE, Warshaw EM, Stricklin G, Dellavalle RP, Sidhu-Malik N, Konnikov N, Werth VP, Keri J, Lew R, Weinstock MA; Veterans Affairs Keratinocyte Carcinoma Chemoprevention (VAKCC) Trial Group..","JAMA Dermatol. 2015 Sep;151(9):952-60. doi: 10.1001/jamadermatol.2015.0502.","JAMA Dermatol.  2015","PubMed","citation","PMID:25950503","pubmed","25950503","create date:2015/05/08 | first author:Pomerantz H",
"Pharmacological evaluation of a novel phosphodiesterase 10A inhibitor in models of antipsychotic activity and cognition.","/pubmed/25989044","Jones PG, Hewitt MC, Campbell JE, Quinton MS, Engel S, Lew R, Campbell U, Burdi DF.","Pharmacol Biochem Behav. 2015 Aug;135:46-52. doi: 10.1016/j.pbb.2015.04.017.","Pharmacol Biochem Behav.  2015","PubMed","citation","PMID:25989044","pubmed","25989044","create date:2015/05/20 | first author:Jones PG",
"The impact of missing data on the results of a schizophrenia study.","/pubmed/25327503","Rybin D, Doros G, Rosenheck R, Lew R.","Pharm Stat. 2015 Jan-Feb;14(1):4-10. doi: 10.1002/pst.1651.","Pharm Stat.  2015","PubMed","citation","PMID:25327503","pubmed","25327503","create date:2014/10/21 | first author:Rybin D",
"Diameter of dysplastic nevi is a more robust biomarker of increased melanoma risk than degree of histologic dysplasia: a case-control study.","/pubmed/25454033","Xiong MY, Rabkin MS, Piepkorn MW, Barnhill RL, Argenyi Z, Erickson L, Guitart J, Lowe L, Shea CR, Trotter MJ, Lew RA, Weinstock MA.","J Am Acad Dermatol. 2014 Dec;71(6):1257-1258.e4. doi: 10.1016/j.jaad.2014.07.030. No abstract available. ","J Am Acad Dermatol.  2014","PubMed","citation","PMID:25454033","pubmed","25454033","create date:2014/12/03 | first author:Xiong MY",
"Polymorphous light eruption: a common skin disease uncommonly recognized in the Hispanic population.","/pubmed/25988060","Lew R, Jacob J.","Oxf Med Case Reports. 2014 Nov 18;2014(8):145-7. doi: 10.1093/omcr/omu055.","Oxf Med Case Reports.  2014","PubMed","citation","PMID:25988060 | PMCID:PMC4369994","pubmed","25988060","create date:2015/05/20 | first author:Lew R",
"Measuring the severity of topical 5-fluorouracil toxicity.","/pubmed/25008439","Korgavkar K, Firoz EF, Xiong M, Lew R, Marcolivio K, Burnside N, Dyer R, Weinstock MA; VAKCC Trial Group..","J Cutan Med Surg. 2014 Jul-Aug;18(4):229-35.","J Cutan Med Surg.  2014","PubMed","citation","PMID:25008439","pubmed","25008439","create date:2014/07/11 | first author:Korgavkar K",
"Differences in treatment effect among clinical subgroups in a randomized clinical trial of long-acting injectable risperidone and oral antipsychotics in unstable chronic schizophrenia.","/pubmed/24375206","Leatherman SM, Liang MH, Krystal JH, Lew RA, Valley D, Thwin SS, Rosenheck RA; CSP 555 Investigators..","J Nerv Ment Dis. 2014 Jan;202(1):13-7. doi: 10.1097/NMD.0000000000000069.","J Nerv Ment Dis.  2014","PubMed","citation","PMID:24375206","pubmed","24375206","create date:2014/01/01 | first author:Leatherman SM",
"Assessment of the minimum clinically important difference in quality of life in schizophrenia measured by the Quality of Well-Being Scale and disease-specific measures.","/pubmed/23473656","Thwin SS, Hermes E, Lew R, Barnett P, Liang M, Valley D, Rosenheck R.","Psychiatry Res. 2013 Oct 30;209(3):291-6. doi: 10.1016/j.psychres.2013.01.016.","Psychiatry Res.  2013","PubMed","citation","PMID:23473656","pubmed","23473656","create date:2013/03/12 | first author:Thwin SS",
"Prevention of contrast-induced AKI: a review of published trials and the design of the prevention of serious adverse events following angiography (PRESERVE) trial.","/pubmed/23660180","Weisbord SD, Gallagher M, Kaufman J, Cass A, Parikh CR, Chertow GM, Shunk KA, McCullough PA, Fine MJ, Mor MK, Lew RA, Huang GD, Conner TA, Brophy MT, Lee J, Soliva S, Palevsky PM.","Clin J Am Soc Nephrol. 2013 Sep;8(9):1618-31. doi: 10.2215/CJN.11161012. Review.","Clin J Am Soc Nephrol.  2013","PubMed","citation","PMID:23660180 | PMCID:PMC3805082","pubmed","23660180","create date:2013/05/11 | first author:Weisbord SD",
"Therapies for active rheumatoid arthritis after methotrexate failure.","/pubmed/23755969","O'Dell JR, Mikuls TR, Taylor TH, Ahluwalia V, Brophy M, Warren SR, Lew RA, Cannella AC, Kunkel G, Phibbs CS, Anis AH, Leatherman S, Keystone E; CSP 551 RACAT Investigators..","N Engl J Med. 2013 Jul 25;369(4):307-18. doi: 10.1056/NEJMoa1303006.","N Engl J Med.  2013","PubMed","citation","PMID:23755969","pubmed","23755969","create date:2013/06/13 | first author:O'Dell JR",
"Veteran subjects willingness to participate in schizophrenia clinical trials.","/pubmed/23143523","Hoblyn JC, Rosenheck RA, Leatherman S, Weil L, Lew R; CSP 555 Investigator Group..","Psychiatr Q. 2013 Jun;84(2):209-18. doi: 10.1007/s11126-012-9240-4.","Psychiatr Q.  2013","PubMed","citation","PMID:23143523","pubmed","23143523","create date:2012/11/13 | first author:Hoblyn JC",
"A comprehensive care management program to prevent chronic obstructive pulmonary disease hospitalizations: a randomized, controlled trial.","/pubmed/22586006","Fan VS, Gaziano JM, Lew R, Bourbeau J, Adams SG, Leatherman S, Thwin SS, Huang GD, Robbins R, Sriram PS, Sharafkhaneh A, Mador MJ, Sarosi G, Panos RJ, Rastogi P, Wagner TH, Mazzuca SA, Shannon C, Colling C, Liang MH, Stoller JK, Fiore L, et al.","Ann Intern Med. 2012 May 15;156(10):673-83. doi: 10.7326/0003-4819-156-10-201205150-00003.","Ann Intern Med.  2012","PubMed","citation","PMID:22586006","pubmed","22586006","create date:2012/05/16 | first author:Fan VS",
"A comparison of statistical approaches for physician-randomized trials with survival outcomes.","/pubmed/21924382","Stedman MR, Lew RA, Losina E, Gagnon DR, Solomon DH, Brookhart MA.","Contemp Clin Trials. 2012 Jan;33(1):104-15. doi: 10.1016/j.cct.2011.08.008.","Contemp Clin Trials.  2012","PubMed","citation","PMID:21924382 | PMCID:PMC3849400","pubmed","21924382","create date:2011/09/20 | first author:Stedman MR",
"A SAS macro for a clustered logrank test.","/pubmed/21496938","Stedman MR, Gagnon DR, Lew RA, Jung SH, Losina E, Brookhart MA.","Comput Methods Programs Biomed. 2011 Nov;104(2):266-70. doi: 10.1016/j.cmpb.2011.02.001.","Comput Methods Programs Biomed.  2011","PubMed","citation","PMID:21496938 | PMCID:PMC3140566","pubmed","21496938","create date:2011/04/19 | first author:Stedman MR",
"A point-of-care clinical trial comparing insulin administered using a sliding scale versus a weight-based regimen.","/pubmed/21478329","Fiore LD, Brophy M, Ferguson RE, D'Avolio L, Hermos JA, Lew RA, Doros G, Conrad CH, O'Neil JA Jr, Sabin TP, Kaufman J, Swartz SL, Lawler E, Liang MH, Gaziano JM, Lavori PW.","Clin Trials. 2011 Apr;8(2):183-95. doi: 10.1177/1740774510395635.","Clin Trials.  2011","PubMed","citation","PMID:21478329 | PMCID:PMC3195898","pubmed","21478329","create date:2011/04/12 | first author:Fiore LD",
"Challenges in the design and conduct of controlled clinical effectiveness trials in schizophrenia.","/pubmed/21270143","Rosenheck RA, Krystal JH, Lew R, Barnett PG, Thwin SS, Fiore L, Valley D, Huang GD, Neal C, Vertrees JE, Liang MH; CSP 555 Research Group..","Clin Trials. 2011 Apr;8(2):196-204. doi: 10.1177/1740774510392931.","Clin Trials.  2011","PubMed","citation","PMID:21270143","pubmed","21270143","create date:2011/01/29 | first author:Rosenheck RA",
"Long-acting risperidone and oral antipsychotics in unstable schizophrenia.","/pubmed/21366475","Rosenheck RA, Krystal JH, Lew R, Barnett PG, Fiore L, Valley D, Thwin SS, Vertrees JE, Liang MH; CSP555 Research Group..","N Engl J Med. 2011 Mar 3;364(9):842-51. doi: 10.1056/NEJMoa1005987. Erratum in: N Engl J Med. 2011 Mar 31;364(13):1281. ","N Engl J Med.  2011","PubMed","citation","PMID:21366475","pubmed","21366475","create date:2011/03/04 | first author:Rosenheck RA",
"Observational methods in comparative effectiveness research.","/pubmed/21184862","Concato J, Lawler EV, Lew RA, Gaziano JM, Aslan M, Huang GD.","Am J Med. 2010 Dec;123(12 Suppl 1):e16-23. doi: 10.1016/j.amjmed.2010.10.004. Review.","Am J Med.  2010","PubMed","citation","PMID:21184862","pubmed","21184862","create date:2011/01/12 | first author:Concato J",
"Design, synthesis, and structure-activity relationships of novel bicyclic azole-amines as negative allosteric modulators of metabotropic glutamate receptor 5.","/pubmed/20809633","Burdi DF, Hunt R, Fan L, Hu T, Wang J, Guo Z, Huang Z, Wu C, Hardy L, Detheux M, Orsini MA, Quinton MS, Lew R, Spear K.","J Med Chem. 2010 Oct 14;53(19):7107-18. doi: 10.1021/jm100736h.","J Med Chem.  2010","PubMed","citation","PMID:20809633","pubmed","20809633","create date:2010/09/03 | first author:Burdi DF",
"A SAS macro for a clustered permutation test.","/pubmed/19321221","Stedman MR, Gagnon DR, Lew RA, Solomon DH, Losina E, Alan Brookhart M.","Comput Methods Programs Biomed. 2009 Jul;95(1):89-94. doi: 10.1016/j.cmpb.2009.02.005.","Comput Methods Programs Biomed.  2009","PubMed","citation","PMID:19321221 | PMCID:PMC2674116","pubmed","19321221","create date:2009/03/27 | first author:Stedman MR",
"Effectiveness and safety of transcranial laser therapy for acute ischemic stroke.","/pubmed/19233936","Zivin JA, Albers GW, Bornstein N, Chippendale T, Dahlof B, Devlin T, Fisher M, Hacke W, Holt W, Ilic S, Kasner S, Lew R, Nash M, Perez J, Rymer M, Schellinger P, Schneider D, Schwab S, Veltkamp R, Walker M, Streeter J; NeuroThera Effectiveness and Safety Trial-2 Investigators..","Stroke. 2009 Apr;40(4):1359-64. doi: 10.1161/STROKEAHA.109.547547.","Stroke.  2009","PubMed","citation","PMID:19233936","pubmed","19233936","create date:2009/02/24 | first author:Zivin JA",
"Topical tretinoin therapy and all-cause mortality.","/pubmed/19153339","Weinstock MA, Bingham SF, Lew RA, Hall R, Eilers D, Kirsner R, Naylor M, Kalivas J, Cole G, Marcolivio K, Collins J, Digiovanna JJ, Vertrees JE; Veterans Affairs Topical Tretinoin Chemoprevention (VATTC) Trial Group..","Arch Dermatol. 2009 Jan;145(1):18-24. doi: 10.1001/archdermatol.2008.542.","Arch Dermatol.  2009","PubMed","citation","PMID:19153339","pubmed","19153339","create date:2009/01/21 | first author:Weinstock MA",
"Multivariate models of determinants of health-related quality of life in severe chronic obstructive pulmonary disease.","/pubmed/19882497","Moy ML, Reilly JJ, Ries AL, Mosenifar Z, Kaplan RM, Lew R, Garshick E; National Emphysema Treatment Trial Research Group..","J Rehabil Res Dev. 2009;46(5):643-54.","J Rehabil Res Dev.  2009","PubMed","citation","PMID:19882497 | PMCID:PMC2774920","pubmed","19882497","create date:2009/11/03 | first author:Moy ML",
"Are drug-eluting stents indicated in large coronary arteries? Insights from a multi-centre percutaneous coronary intervention registry.","/pubmed/18706719","Yan BP, Ajani AE, New G, Duffy SJ, Farouque O, Shaw J, Sebastian M, Lew R, Brennan A, Andrianopoulos N, Reid C, Clark DJ; Melbourne Interventional Group Investigators..","Int J Cardiol. 2008 Nov 28;130(3):374-9. doi: 10.1016/j.ijcard.2008.06.046.","Int J Cardiol.  2008","PubMed","citation","PMID:18706719","pubmed","18706719","create date:2008/08/19 | first author:Yan BP",
"Review of tissue plasminogen activator, ischemic stroke, and potential legal issues.","/pubmed/19001160","Liang BA, Lew R, Zivin JA.","Arch Neurol. 2008 Nov;65(11):1429-33. doi: 10.1001/archneur.65.11.1429. Review.","Arch Neurol.  2008","PubMed","citation","PMID:19001160","pubmed","19001160","create date:2008/11/13 | first author:Liang BA",
"Outcomes after percutaneous coronary intervention in contemporary Australian practice: insights from a large multicentre registry.","/pubmed/18928433","Ajani AE, Reid CM, Duffy SJ, Andrianopoulos N, Lefkovits J, Black A, New G, Lew R, Shaw JA, Yan BP, Gurvitch R, Al-Fiadh A, Brennan AL, Clark DJ.","Med J Aust. 2008 Oct 20;189(8):423-8.","Med J Aust.  2008","PubMed","citation","PMID:18928433","pubmed","18928433","create date:2008/10/22 | first author:Ajani AE",
