Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Haematoma expansion and vitamin K antagonist reversal.","/pubmed/27647637","Zemrak WR, Smith KE, Gagnon DJ, Rolfe SS, Seder DB.","Lancet Neurol. 2016 Oct;15(11):1116-7. doi: 10.1016/S1474-4422(16)30201-0. No abstract available. ","Lancet Neurol.  2016","PubMed","citation","PMID:27647637","pubmed","27647637","create date:2016/09/21 | first author:Zemrak WR",
"Isolation of a monoclonal antibody that recognizes the origin binding domain of JCV, but not SV40, large T-antigen.","/pubmed/27433780","Grubman SA, Shin J, Phelan PJ, Gong A, Can H, Dilworth R, Kini SK, Gagnon D, Archambault J, Meinke G, Bohm A, Jefferson DM, Bullock PA.","Virology. 2016 Oct;497:92-101. doi: 10.1016/j.virol.2016.07.006.","Virology.  2016","PubMed","citation","PMID:27433780","pubmed","27433780","create date:2016/07/20 | first author:Grubman SA",
"Valproate for agitation in critically ill patients: A retrospective study.","/pubmed/27693975","Gagnon DJ, Fontaine GV, Smith KE, Riker RR, Miller RR 3rd, Lerwick PA, Lucas FL, Dziodzio JT, Sihler KC, Fraser GL.","J Crit Care. 2016 Sep 11;37:119-125. doi: 10.1016/j.jcrc.2016.09.006.","J Crit Care.  2016","PubMed","citation","PMID:27693975","pubmed","27693975","create date:2016/10/04 | first author:Gagnon DJ",
"Occurrence of hepatotoxicity with pazopanib and other anti-VEGF treatments for renal cell carcinoma: an observational study utilizing a distributed database network.","/pubmed/27438066","Shantakumar S, Nordstrom BL, Djousse L, Hall SA, Gagnon DR, Fraeman KH, van Herk-Sukel M, Chagin K, Nelson J.","Cancer Chemother Pharmacol. 2016 Sep;78(3):559-66. doi: 10.1007/s00280-016-3112-9.","Cancer Chemother Pharmacol.  2016","PubMed","citation","PMID:27438066 | PMCID:PMC5010603","pubmed","27438066","create date:2016/07/21 | first author:Shantakumar S",
"Assessing the impact of prescribing directives on opioid prescribing practices among Veterans Health Administration providers.","/pubmed/27530106","Barber C, Gagnon D, Fonda J, Cho K, Hermos J, Miller M.","Pharmacoepidemiol Drug Saf. 2016 Aug 16. doi: 10.1002/pds.4066.","Pharmacoepidemiol Drug Saf.  2016","PubMed","citation","PMID:27530106","pubmed","27530106","create date:2016/08/18 | first author:Barber C",
"Free serum valproate concentration more reliable than total concentration in critically ill patients.","/pubmed/27266943","Hatton C, Riker RR, Gagnon DJ, May T, Seder DB, Fraser GL.","Resuscitation. 2016 Aug;105:e15-6. doi: 10.1016/j.resuscitation.2016.05.027. No abstract available. ","Resuscitation.  2016","PubMed","citation","PMID:27266943","pubmed","27266943","create date:2016/06/09 | first author:Hatton C",
"Incidence and Determinants of Traumatic Intracranial Bleeding Among Older Veterans Receiving Warfarin for Atrial Fibrillation.","/pubmed/27437657","Dodson JA, Petrone A, Gagnon DR, Tinetti ME, Krumholz HM, Gaziano JM.","JAMA Cardiol. 2016 Apr 1;1(1):65-72. doi: 10.1001/jamacardio.2015.0345.","JAMA Cardiol.  2016","PubMed","citation","PMID:27437657","pubmed","27437657","create date:2016/07/22 | first author:Dodson JA",
"Correction: Structural Based Analyses of the JC Virus T-Antigen F258L Mutant Provides Evidence for DNA Dependent Conformational Changes in the C-Termini of Polyomavirus Origin Binding Domains.","/pubmed/26928924","Meinke G, Phelan PJ, Shin J, Gagnon D, Archambault J, Bohm A, Bullock PA.","PLoS Pathog. 2016 Feb 29;12(2):e1005482. doi: 10.1371/journal.ppat.1005482. No abstract available. ","PLoS Pathog.  2016","PubMed","citation","PMID:26928924 | PMCID:PMC4771892","pubmed","26928924","create date:2016/03/02 | first author:Meinke G",
"Requirement for the E1 Helicase C-Terminal Domain in Papillomavirus DNA Replication In Vivo.","/pubmed/26739052","Bergvall M, Gagnon D, Titolo S, Lehoux M, D'Abramo CM, Melendy T, Archambault J.","J Virol. 2016 Jan 6;90(6):3198-211. doi: 10.1128/JVI.03127-15.","J Virol.  2016","PubMed","citation","PMID:26739052 | PMCID:PMC4810619","pubmed","26739052","create date:2016/01/08 | first author:Bergvall M",
"Structural Based Analyses of the JC Virus T-Antigen F258L Mutant Provides Evidence for DNA Dependent Conformational Changes in the C-Termini of Polyomavirus Origin Binding Domains.","/pubmed/26735515","Meinke G, Phelan PJ, Shin J, Gagnon D, Archambault J, Bohm A, Bullock PA.","PLoS Pathog. 2016 Jan 6;12(1):e1005362. doi: 10.1371/journal.ppat.1005362. Erratum in: PLoS Pathog. 2016 Feb;12(2):e1005482. ","PLoS Pathog.  2016","PubMed","citation","PMID:26735515 | PMCID:PMC4703215","pubmed","26735515","create date:2016/01/07 | first author:Meinke G",
