Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Description of a risk predictive model of 30-day postoperative mortality after elective abdominal aortic aneurysm repair.","/pubmed/27720320","Eslami MH, Rybin DV, Doros G, Farber A.","J Vasc Surg. 2016 Oct 5. pii: S0741-5214(16)30877-1. doi: 10.1016/j.jvs.2016.07.103.","J Vasc Surg.  2016","PubMed","citation","PMID:27720320","pubmed","27720320","create date:2016/10/11 | first author:Eslami MH",
"Effect of team training on improving MRI study completion rates and no-show rates.","/pubmed/27126735","Norbash A, Yucel K, Yuh W, Doros G, Ajam A, Lang E, Pauker S, Mayr N.","J Magn Reson Imaging. 2016 Oct;44(4):1040-7. doi: 10.1002/jmri.25219.","J Magn Reson Imaging.  2016","PubMed","citation","PMID:27126735","pubmed","27126735","create date:2016/04/30 | first author:Norbash A",
"Efficacy and Safety of Proton-Pump Inhibitors in High-Risk Cardiovascular Subsets of the COGENT Trial.","/pubmed/27143321","Vaduganathan M, Cannon CP, Cryer BL, Liu Y, Hsieh WH, Doros G, Cohen M, Lanas A, Schnitzer TJ, Shook TL, Lapuerta P, Goldsmith MA, Laine L, Bhatt DL; COGENT Investigators..","Am J Med. 2016 Sep;129(9):1002-5. doi: 10.1016/j.amjmed.2016.03.042.","Am J Med.  2016","PubMed","citation","PMID:27143321","pubmed","27143321","create date:2016/05/05 | first author:Vaduganathan M",
"The Author's Reply: Changing testosterone had no direct effect on HbA1c or weight in diabetic men when TRT was interrupted and then resumed.","/pubmed/27222377","Yassin A, Almehmadi Y, Saad F, Doros G, Gooren L.","Clin Endocrinol (Oxf). 2016 Sep;85(3):500-1. doi: 10.1111/cen.13113. No abstract available. ","Clin Endocrinol (Oxf).  2016","PubMed","citation","PMID:27222377","pubmed","27222377","create date:2016/05/26 | first author:Yassin A",
"Reply: High Risk of Gastrointestinal Bleeding on Dual Antiplatelet Treatment.","/pubmed/27561775","Vaduganathan M, Bhatt DL, Cryer BL, Liu Y, Hsieh WH, Doros G, Cohen M, Lanas A, Schnitzer TJ, Shook TL, Lapuerta P, Goldsmith MA, Laine L, Cannon CP; COGENT Investigators..","J Am Coll Cardiol. 2016 Aug 30;68(9):981-2. doi: 10.1016/j.jacc.2016.06.008. No abstract available. ","J Am Coll Cardiol.  2016","PubMed","citation","PMID:27561775","pubmed","27561775","create date:2016/08/27 | first author:Vaduganathan M",
"Simple Predictive Model of Early Failure among Patients Undergoing First-Time Arteriovenous Fistula Creation.","/pubmed/27239000","Eslami MH, Zhu CK, Rybin D, Doros G, Siracuse JJ, Farber A.","Ann Vasc Surg. 2016 Aug;35:46-52. doi: 10.1016/j.avsg.2016.01.023.","Ann Vasc Surg.  2016","PubMed","citation","PMID:27239000","pubmed","27239000","create date:2016/05/31 | first author:Eslami MH",
"Expected Sonographic Appearance of the Spleen in Children and Young Adults With Sickle Cell Disease: An Update.","/pubmed/27353067","Gale HI, Bobbitt CA, Setty BN, Sprinz PG, Doros G, Williams DD, Morrison TC, Kalajian TA, Tu P, Mundluru SN, Castro-Aragon I.","J Ultrasound Med. 2016 Aug;35(8):1735-45. doi: 10.7863/ultra.15.09023.","J Ultrasound Med.  2016","PubMed","citation","PMID:27353067","pubmed","27353067","create date:2016/06/30 | first author:Gale HI",
"Preoperative Hypoalbuminemia Is Associated With Poor Clinical Outcomes After Open and Endovascular Abdominal Aortic Aneurysm Repair.","/pubmed/27763303","Inagaki E, Farber A, Eslami MH, Kalish J, Peacock MR, Rybin DV, Doros G, Siracuse JJ.","J Vasc Surg. 2016 Aug;64(2):547. doi: 10.1016/j.jvs.2016.05.027. No abstract available. ","J Vasc Surg.  2016","PubMed","citation","PMID:27763303","pubmed","27763303","create date:2016/10/21 | first author:Inagaki E",
"The Role of the Model of End-Stage Liver Disease Score in Predicting Outcomes of Carotid Endarterectomy.","/pubmed/27334479","Krafcik BM, Farber A, Eslami MH, Kalish JA, Rybin D, Doros G, King EG, Siracuse JJ.","Vasc Endovascular Surg. 2016 Aug;50(6):380-4. doi: 10.1177/1538574416655896.","Vasc Endovascular Surg.  2016","PubMed","citation","PMID:27334479","pubmed","27334479","create date:2016/06/24 | first author:Krafcik BM",
"A method for establishing class III medical device equivalence: sodium hyaluronate (GenVisc 850) for the treatment of knee osteoarthritis.","/pubmed/27471412","Doros G, Lavin PT, Daley M, Miller LE.","Med Devices (Auckl). 2016 Jul 13;9:205-11. doi: 10.2147/MDER.S104327. Review.","Med Devices (Auckl).  2016","PubMed","citation","PMID:27471412 | PMCID:PMC4948701","pubmed","27471412","create date:2016/07/30 | first author:Doros G",
"Alternative conduit for infrageniculate bypass in patients with critical limb ischemia.","/pubmed/27345506","Moreira CC, Leung AD, Farber A, Rybin D, Doros G, Siracuse JJ, Kalish J, Eslami MH.","J Vasc Surg. 2016 Jul;64(1):131-139.e1. doi: 10.1016/j.jvs.2016.01.042.","J Vasc Surg.  2016","PubMed","citation","PMID:27345506","pubmed","27345506","create date:2016/06/28 | first author:Moreira CC",
"The role of Model for End-Stage Liver Disease (MELD) score in predicting outcomes for lower extremity bypass.","/pubmed/26994957","Krafcik BM, Farber A, Eslami MH, Kalish JA, Rybin D, Doros G, Shah NK, Siracuse JJ.","J Vasc Surg. 2016 Jul;64(1):124-30. doi: 10.1016/j.jvs.2016.01.033.","J Vasc Surg.  2016","PubMed","citation","PMID:26994957","pubmed","26994957","create date:2016/03/21 | first author:Krafcik BM",
"Men with testosterone deficiency and a history of cardiovascular diseases benefit from long-term testosterone therapy: observational, real-life data from a registry study.","/pubmed/27366080","Haider A, Yassin A, Haider KS, Doros G, Saad F, Rosano GM.","Vasc Health Risk Manag. 2016 Jun 14;12:251-61. doi: 10.2147/VHRM.S108947.","Vasc Health Risk Manag.  2016","PubMed","citation","PMID:27366080 | PMCID:PMC4913536","pubmed","27366080","create date:2016/07/02 | first author:Haider A",
"Outcomes of patients with type I endoleak at completion of endovascular abdominal aneurysm repair.","/pubmed/27038837","Tan TW, Eslami M, Rybin D, Doros G, Zhang WW, Farber A.","J Vasc Surg. 2016 Jun;63(6):1420-7. doi: 10.1016/j.jvs.2016.01.027.","J Vasc Surg.  2016","PubMed","citation","PMID:27038837","pubmed","27038837","create date:2016/04/04 | first author:Tan TW",
"Proton-Pump Inhibitors Reduce Gastrointestinal Events Regardless of Aspirin Dose in Patients Requiring Dual Antiplatelet Therapy.","/pubmed/27012778","Vaduganathan M, Bhatt DL, Cryer BL, Liu Y, Hsieh WH, Doros G, Cohen M, Lanas A, Schnitzer TJ, Shook TL, Lapuerta P, Goldsmith MA, Laine L, Cannon CP; COGENT Investigators..","J Am Coll Cardiol. 2016 Apr 12;67(14):1661-71. doi: 10.1016/j.jacc.2015.12.068.","J Am Coll Cardiol.  2016","PubMed","citation","PMID:27012778","pubmed","27012778","create date:2016/03/26 | first author:Vaduganathan M",
