Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Examining New Preoperative Assessment Tools.","/pubmed/27590632","Kapoor A, Shaffer NS, McDonough CM, White DK, Wang N, Rosenkranz P, Glantz A, McAneny D, Doherty GM, Cabral HJ, Gurwitz JH, Fielding RA, Jette AM, Silliman RA.","J Am Geriatr Soc. 2016 Oct;64(10):e102-e104. doi: 10.1111/jgs.14349. No abstract available. ","J Am Geriatr Soc.  2016","PubMed","citation","PMID:27590632","pubmed","27590632","create date:2016/10/21 | first author:Kapoor A",
"Phase I Trial of Anti-PSMA Designer CAR-T Cells in Prostate Cancer: Possible Role for Interacting Interleukin 2-T Cell Pharmacodynamics as a Determinant of Clinical Response.","/pubmed/27324746","Junghans RP, Ma Q, Rathore R, Gomes EM, Bais AJ, Lo AS, Abedi M, Davies RA, Cabral HJ, Al-Homsi AS, Cohen SI.","Prostate. 2016 Oct;76(14):1257-70. doi: 10.1002/pros.23214.","Prostate.  2016","PubMed","citation","PMID:27324746","pubmed","27324746","create date:2016/06/22 | first author:Junghans RP",
"Patient Navigation for Mothers with Depression who Have Children in Head Start: A Pilot Study.","/pubmed/27195704","Diaz-Linhart Y, Silverstein M, Grote N, Cadena L, Feinberg E, Ruth BJ, Cabral H.","Soc Work Public Health. 2016 Oct;31(6):504-10. doi: 10.1080/19371918.2016.1160341.","Soc Work Public Health.  2016","PubMed","citation","PMID:27195704","pubmed","27195704","create date:2016/05/20 | first author:Diaz-Linhart Y",
"Perinatal outcomes of singleton siblings: the effects of changing maternal fertility status.","/pubmed/27318927","Luke B, Gopal D, Cabral H, Diop H, Stern JE.","J Assist Reprod Genet. 2016 Sep;33(9):1203-13. doi: 10.1007/s10815-016-0757-6.","J Assist Reprod Genet.  2016","PubMed","citation","PMID:27318927 | PMCID:PMC5010815","pubmed","27318927","create date:2016/06/20 | first author:Luke B",
"Children using Day Nurseries' Facilities can be Associated with more Risk to Nonnutritive Sucking Habits.","/pubmed/27733714","Alves FB, Wambier DS, Alvarez JH, da Rocha JC, Kummer TR, de Castro VC, Cabral H, Kozlowski VA Jr.","J Contemp Dent Pract. 2016 Sep 1;17(9):721-727.","J Contemp Dent Pract.  2016","PubMed","citation","PMID:27733714","pubmed","27733714","create date:2016/10/14 | first author:Alves FB",
"Recent Increases in the U.S. Maternal Mortality Rate: Disentangling Trends From Measurement Issues.","/pubmed/27500333","MacDorman MF, Declercq E, Cabral H, Morton C.","Obstet Gynecol. 2016 Sep;128(3):447-55. doi: 10.1097/AOG.0000000000001556.","Obstet Gynecol.  2016","PubMed","citation","PMID:27500333 | PMCID:PMC5001799","pubmed","27500333","create date:2016/08/09 | first author:MacDorman MF",
"Disparities in Age-Associated Cognitive Decline Between African-American and Caucasian Populations: The Roles of Health Literacy and Education.","/pubmed/27310494","Gupta VK, Winter M, Cabral H, Henault L, Waite K, Hanchate A, Bickmore TW, Wolf MS, Paasche-Orlow MK.","J Am Geriatr Soc. 2016 Aug;64(8):1716-23. doi: 10.1111/jgs.14257.","J Am Geriatr Soc.  2016","PubMed","citation","PMID:27310494","pubmed","27310494","create date:2016/06/17 | first author:Gupta VK",
"Reducing Disparities in Timely Autism Diagnosis Through Family Navigation: Results From a Randomized Pilot Trial.","/pubmed/27133722","Feinberg E, Abufhele M, Sandler J, Augustyn M, Cabral H, Chen N, Diaz Linhart Y, Cesar Levesque Z, Aebi M, Silverstein M.","Psychiatr Serv. 2016 Aug 1;67(8):912-5. doi: 10.1176/appi.ps.201500162.","Psychiatr Serv.  2016","PubMed","citation","PMID:27133722","pubmed","27133722","create date:2016/05/03 | first author:Feinberg E",
"Prenatal, perinatal, and adolescent exposure to marijuana: Relationships with aggressive behavior.","/pubmed/27345271","Barthelemy OJ, Richardson MA, Cabral HJ, Frank DA.","Neurotoxicol Teratol. 2016 Jun 23. pii: S0892-0362(16)30065-4. doi: 10.1016/j.ntt.2016.06.009. Review.","Neurotoxicol Teratol.  2016","PubMed","citation","PMID:27345271","pubmed","27345271","create date:2016/06/28 | first author:Barthelemy OJ",
"Racial disparities in patient activation: Evaluating the mediating role of health literacy with path analyses.","/pubmed/26809936","Gwynn KB, Winter MR, Cabral HJ, Wolf MS, Hanchate AD, Henault L, Waite K, Bickmore TW, Paasche-Orlow MK.","Patient Educ Couns. 2016 Jun;99(6):1033-7. doi: 10.1016/j.pec.2015.12.020.","Patient Educ Couns.  2016","PubMed","citation","PMID:26809936 | PMCID:PMC4912873","pubmed","26809936","create date:2016/01/27 | first author:Gwynn KB",
"Myopic and Forward Looking Behavior in Branded Oral Anti-Diabetic Medication Consumption: An Example from Medicare Part D.","/pubmed/27150938","Sacks NC, Burgess JF Jr, Cabral HJ, Pizer SD.","Health Econ. 2016 May 6. doi: 10.1002/hec.3355.","Health Econ.  2016","PubMed","citation","PMID:27150938","pubmed","27150938","create date:2016/05/07 | first author:Sacks NC",
"Longitudinal measures of cognition in the Ts65Dn mouse: Refining windows and defining modalities for therapeutic intervention in Down syndrome.","/pubmed/26854932","Olmos-Serrano JL, Tyler WA, Cabral HJ, Haydar TF.","Exp Neurol. 2016 May;279:40-56. doi: 10.1016/j.expneurol.2016.02.005.","Exp Neurol.  2016","PubMed","citation","PMID:26854932","pubmed","26854932","create date:2016/02/09 | first author:Olmos-Serrano JL",
"Classification of patients with incident non-specific low back pain: implications for research.","/pubmed/26282103","Norton G, McDonough CM, Cabral HJ, Shwartz M, Burgess JF Jr.","Spine J. 2016 May;16(5):567-76. doi: 10.1016/j.spinee.2015.08.015.","Spine J.  2016","PubMed","citation","PMID:26282103 | PMCID:PMC4987706","pubmed","26282103","create date:2015/08/19 | first author:Norton G",
"Using Clinical Data to Predict Accurate ADHD Diagnoses Among Urban Children.","/pubmed/26130393","Silverstein M, Hironaka LK, Feinberg E, Sandler J, Pellicer M, Chen N, Cabral H.","Clin Pediatr (Phila). 2016 Apr;55(4):326-32. doi: 10.1177/0009922815591882.","Clin Pediatr (Phila).  2016","PubMed","citation","PMID:26130393","pubmed","26130393","create date:2015/07/02 | first author:Silverstein M",
"Psychological Distress Among School-Aged Children with and Without Intrauterine Cocaine Exposure: Perinatal Versus Contextual Effects.","/pubmed/26194603","Richardson MA, Grant-Knight W, Beeghly M, Rose-Jacobs R, Chen CA, Appugliese DP, Cabral HJ, Liebschutz JM, Frank DA.","J Abnorm Child Psychol. 2016 Apr;44(3):547-60. doi: 10.1007/s10802-015-0052-5.","J Abnorm Child Psychol.  2016","PubMed","citation","PMID:26194603 | PMCID:PMC4854523","pubmed","26194603","create date:2015/07/22 | first author:Richardson MA",
"Factors associated with bariatric postoperative emergency department visits.","/pubmed/27317600","Macht R, George J, Ameli O, Hess D, Cabral H, Kazis L.","Surg Obes Relat Dis. 2016 Mar 2. pii: S1550-7289(16)00084-8. doi: 10.1016/j.soard.2016.02.038.","Surg Obes Relat Dis.  2016","PubMed","citation","PMID:27317600","pubmed","27317600","create date:2016/06/19 | first author:Macht R",
"Increasing Medication Possession at Discharge for Patients With Asthma: The Meds-in-Hand Project.","/pubmed/26912205","Hatoun J, Bair-Merritt M, Cabral H, Moses J.","Pediatrics. 2016 Mar;137(3):e20150461. doi: 10.1542/peds.2015-0461.","Pediatrics.  2016","PubMed","citation","PMID:26912205","pubmed","26912205","create date:2016/02/26 | first author:Hatoun J",
"Assisted Reproductive Technology and Early Intervention Program Enrollment.","/pubmed/26908668","Diop H, Gopal D, Cabral H, Belanoff C, Declercq ER, Kotelchuck M, Luke B, Stern JE.","Pediatrics. 2016 Mar;137(3):e20152007. doi: 10.1542/peds.2015-2007.","Pediatrics.  2016","PubMed","citation","PMID:26908668 | PMCID:PMC4766754","pubmed","26908668","create date:2016/02/26 | first author:Diop H",
"Receipt of Evidence-Based Pharmacotherapy and Psychotherapy Among Children and Adolescents With New Diagnoses of Depression.","/pubmed/26725295","Soria-Saucedo R, Walter HJ, Cabral H, England MJ, Kazis LE.","Psychiatr Serv. 2016 Mar;67(3):316-23. doi: 10.1176/appi.ps.201500090.","Psychiatr Serv.  2016","PubMed","citation","PMID:26725295","pubmed","26725295","create date:2016/01/05 | first author:Soria-Saucedo R",
"Patient cost-sharing and insurance arrangements are associated with hospital readmissions after abdominal surgery: Implications for access and quality health care.","/pubmed/26477477","Youn B, Soley-Bori M, Soria-Saucedo R, Ryan CM, Schneider JC, Haynes AB, Cabral HJ, Kazis LE.","Surgery. 2016 Mar;159(3):919-29. doi: 10.1016/j.surg.2015.09.007.","Surgery.  2016","PubMed","citation","PMID:26477477","pubmed","26477477","create date:2015/10/20 | first author:Youn B",
"Unnecessary Antibiotics for Acute Respiratory Tract Infections: Association With Care Setting and Patient Demographics.","/pubmed/27006968","Barlam TF, Soria-Saucedo R, Cabral HJ, Kazis LE.","Open Forum Infect Dis. 2016 Feb 23;3(1):ofw045. doi: 10.1093/ofid/ofw045.","Open Forum Infect Dis.  2016","PubMed","citation","PMID:27006968 | PMCID:PMC4800455","pubmed","27006968","create date:2016/03/24 | first author:Barlam TF",
"Avoidance as an obstacle to preventing depression among urban women at high risk for violent trauma.","/pubmed/25833808","Silverstein M, Kistin C, Bair-Merritt M, Wiltsey-Stirman S, Feinberg E, Diaz-Linhart Y, Sandler J, Chen N, Cabral H.","Arch Womens Ment Health. 2016 Feb;19(1):63-70. doi: 10.1007/s00737-015-0521-4.","Arch Womens Ment Health.  2016","PubMed","citation","PMID:25833808","pubmed","25833808","create date:2015/04/03 | first author:Silverstein M",
"Prepregnancy Body Mass Index and Infant Mortality in 38 U.S. States, 2012-2013.","/pubmed/26942355","Declercq E, MacDorman M, Cabral H, Stotland N.","Obstet Gynecol. 2016 Feb;127(2):279-87. doi: 10.1097/AOG.0000000000001241.","Obstet Gynecol.  2016","PubMed","citation","PMID:26942355","pubmed","26942355","create date:2016/03/05 | first author:Declercq E",
"Differences by gender at twelve months in a brief intervention trial among Mexican-origin young adults in the emergency department.","/pubmed/26821181","Bernstein J, Bernstein E, Hudson D, Belanoff C, Cabral HJ, Cherpitel CJ, Bond J, Ye Y, Woolard R, Villalobos S, Ramos R.","J Ethn Subst Abuse. 2016 Jan 28:1-18.","J Ethn Subst Abuse.  2016","PubMed","citation","PMID:26821181 | PMCID:PMC4733888","pubmed","26821181","create date:2016/01/29 | first author:Bernstein J",
"Subsequent Maltreatment in Children With Disabilities After an Unsubstantiated Report for Neglect.","/pubmed/26746463","Kistin CJ, Tompson MC, Cabral HJ, Sege RD, Winter MR, Silverstein M.","JAMA. 2016 Jan 5;315(1):85-7. doi: 10.1001/jama.2015.12912. No abstract available. ","JAMA.  2016","PubMed","citation","PMID:26746463 | PMCID:PMC4917388","pubmed","26746463","create date:2016/01/10 | first author:Kistin CJ",
"The Role of Geography in the Assessment of Quality: Evidence from the Medicare Advantage Program.","/pubmed/26727371","Soria-Saucedo R, Xu P, Newsom J, Cabral H, Kazis LE.","PLoS One. 2016 Jan 4;11(1):e0145656. doi: 10.1371/journal.pone.0145656.","PLoS One.  2016","PubMed","citation","PMID:26727371 | PMCID:PMC4703195","pubmed","26727371","create date:2016/01/05 | first author:Soria-Saucedo R",
"Effects of intrauterine substance and postnatal violence exposure on aggression in children.","/pubmed/26660077","Barthelemy OJ, Richardson MA, Rose-Jacobs R, Forman LS, Cabral HJ, Frank DA.","Aggress Behav. 2016 May-Jun;42(3):209-21. doi: 10.1002/ab.21607.","Aggress Behav.  2016","PubMed","citation","PMID:26660077","pubmed","26660077","create date:2015/12/15 | first author:Barthelemy OJ",
"Is the wrong question being asked in infertility research?","/pubmed/26634257","Luke B, Stern JE, Hornstein MD, Kotelchuck M, Diop H, Cabral H, Declercq ER.","J Assist Reprod Genet. 2016 Jan;33(1):3-8. doi: 10.1007/s10815-015-0610-3.","J Assist Reprod Genet.  2016","PubMed","citation","PMID:26634257 | PMCID:PMC4717139","pubmed","26634257","create date:2015/12/05 | first author:Luke B",
"Predictors of Adherence to Post-Polypectomy Surveillance Colonoscopy.","/pubmed/27763469","Calderwood AH, Schroy PC, Kluge MA, Cabral HJ, Burgess JF.","J Health Care Poor Underserved. 2016;27(1):261-279.","J Health Care Poor Underserved.  2016","PubMed","citation","PMID:27763469","pubmed","27763469","create date:2016/10/21 | first author:Calderwood AH",
"Health Literacy and Education as Mediators of Racial Disparities in Patient Activation Within an Elderly Patient Cohort.","/pubmed/27524777","Eneanya ND, Winter M, Cabral H, Waite K, Henault L, Bickmore T, Hanchate A, Wolf M, Paasche-Orlow MK.","J Health Care Poor Underserved. 2016;27(3):1427-40. doi: 10.1353/hpu.2016.0133.","J Health Care Poor Underserved.  2016","PubMed","citation","PMID:27524777","pubmed","27524777","create date:2016/08/16 | first author:Eneanya ND",
