Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The Impact of Financial Conflicts of Interest in Plastic Surgery: Are They All Created Equal?","/pubmed/27220019","Lopez J, Juan I, Wu A, Samaha G, Cho B, Luck JD, Soni A, Milton J, May JW Jr, Tufaro AP, Dorafshar AH.","Ann Plast Surg. 2016 Aug;77(2):226-30. doi: 10.1097/SAP.0000000000000834.","Ann Plast Surg.  2016","PubMed","citation","PMID:27220019","pubmed","27220019","create date:2016/05/25 | first author:Lopez J",
"Homozygosity for a haplotype in the HBG2-OR51B4 region is exclusive to Arab-Indian haplotype sickle cell anemia.","/pubmed/27185208","Vathipadiekal V, Alsultan A, Baltrusaitis K, Farrell JJ, Al-Rubaish AM, Al-Muhanna F, Naserullah Z, Suliman A, Patra PK, Milton JN, Farrer LA, Chui DH, Al-Ali AK, Sebastiani P, Steinberg MH.","Am J Hematol. 2016 Jun;91(6):E308-11. doi: 10.1002/ajh.24368. No abstract available. ","Am J Hematol.  2016","PubMed","citation","PMID:27185208 | PMCID:PMC4874527","pubmed","27185208","create date:2016/05/18 | first author:Vathipadiekal V",
"Reply: Financial Conflicts of Interest: An Association between Funding and Findings in Plastic Surgery.","/pubmed/26895581","Lopez J, Lopez S, Means J, Mohan R, Soni A, Milton J, Tufaro AP, May JW Jr, Dorafshar A.","Plast Reconstr Surg. 2016 Jun;137(6):1067e-8e. doi: 10.1097/PRS.0000000000002219. No abstract available. ","Plast Reconstr Surg.  2016","PubMed","citation","PMID:26895581","pubmed","26895581","create date:2016/02/20 | first author:Lopez J",
"Financial Conflicts of Interest: An Association between Funding and Findings in Plastic Surgery.","/pubmed/26505726","Lopez J, Lopez S, Means J, Mohan R, Soni A, Milton J, Tufaro AP, May JW Jr, Dorafshar A.","Plast Reconstr Surg. 2015 Nov;136(5):690e-7e. doi: 10.1097/PRS.0000000000001718. Review.","Plast Reconstr Surg.  2015","PubMed","citation","PMID:26505726","pubmed","26505726","create date:2015/10/28 | first author:Lopez J",
"BCL11A enhancer haplotypes and fetal hemoglobin in sickle cell anemia.","/pubmed/25703683","Sebastiani P, Farrell JJ, Alsultan A, Wang S, Edward HL, Shappell H, Bae H, Milton JN, Baldwin CT, Al-Rubaish AM, Naserullah Z, Al-Muhanna F, Alsuliman A, Patra PK, Farrer LA, Ngo D, Vathipadiekal V, Chui DH, Al-Ali AK, Steinberg MH.","Blood Cells Mol Dis. 2015 Mar;54(3):224-30. doi: 10.1016/j.bcmd.2015.01.001.","Blood Cells Mol Dis.  2015","PubMed","citation","PMID:25703683 | PMCID:PMC4341902","pubmed","25703683","create date:2015/02/24 | first author:Sebastiani P",
"Evaluation of an ensemble of genetic models for prediction of a quantitative trait.","/pubmed/25628649","Milton JN, Steinberg MH, Sebastiani P.","Front Genet. 2015 Jan 13;5:474. doi: 10.3389/fgene.2014.00474.","Front Genet.  2015","PubMed","citation","PMID:25628649 | PMCID:PMC4292739","pubmed","25628649","create date:2015/01/30 | first author:Milton JN",
"Rare genetic variant analysis on blood pressure in related samples.","/pubmed/25519320","Chen H, Choi SH, Hong J, Lu C, Milton JN, Allard C, Lacey SM, Lin H, Dupuis J.","BMC Proc. 2014 Jun 17;8(Suppl 1):S35. doi: 10.1186/1753-6561-8-S1-S35.","BMC Proc.  2014","PubMed","citation","PMID:25519320 | PMCID:PMC4143757","pubmed","25519320","create date:2014/12/19 | first author:Chen H",
"The impact of conflicts of interest in plastic surgery: an analysis of acellular dermal matrix, implant-based breast reconstruction.","/pubmed/24867714","Lopez J, Prifogle E, Nyame TT, Milton J, May JW Jr.","Plast Reconstr Surg. 2014 Jun;133(6):1328-34. doi: 10.1097/PRS.0000000000000172. Erratum in: Plast Reconstr Surg. 2014 Aug;134(2):373. ","Plast Reconstr Surg.  2014","PubMed","citation","PMID:24867714","pubmed","24867714","create date:2014/05/29 | first author:Lopez J",
"Prediction of fetal hemoglobin in sickle cell anemia using an ensemble of genetic risk prediction models.","/pubmed/24585758","Milton JN, Gordeuk VR, Taylor JG 6th, Gladwin MT, Steinberg MH, Sebastiani P.","Circ Cardiovasc Genet. 2014 Apr;7(2):110-5. doi: 10.1161/CIRCGENETICS.113.000387.","Circ Cardiovasc Genet.  2014","PubMed","citation","PMID:24585758 | PMCID:PMC3994553","pubmed","24585758","create date:2014/03/04 | first author:Milton JN",
"A GCH1 haplotype confers sex-specific susceptibility to pain crises and altered endothelial function in adults with sickle cell anemia.","/pubmed/24136375","Belfer I, Youngblood V, Darbari DS, Wang Z, Diaw L, Freeman L, Desai K, Dizon M, Allen D, Cunnington C, Channon KM, Milton J, Hartley SW, Nolan V, Kato GJ, Steinberg MH, Goldman D, Taylor JG 6th.","Am J Hematol. 2014 Feb;89(2):187-93. doi: 10.1002/ajh.23613.","Am J Hematol.  2014","PubMed","citation","PMID:24136375 | PMCID:PMC4281092","pubmed","24136375","create date:2013/10/19 | first author:Belfer I",
"Genetic modulation of HbF in Brazilians with HbSC disease and sickle cell anemia.","/pubmed/23828430","Barbosa CG, Aleluia AC, Pacheco AP, Paz SS, Zanette AM, Lyra IM, Steinberg MH, Milton JN, Goncalves MS.","Am J Hematol. 2013 Oct;88(10):923-4. doi: 10.1002/ajh.23538. No abstract available. ","Am J Hematol.  2013","PubMed","citation","PMID:23828430 | PMCID:PMC3787949","pubmed","23828430","create date:2013/07/06 | first author:Barbosa CG",
