Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A Survey of Social Media Use and Preferences in Patients with Inflammatory Bowel Disease.","/pubmed/27755269","Reich J, Guo L, Hall J, Tran A, Weinberg J, Groshek J, Rowell TE, DiPalma JA, Farraye FA.","Inflamm Bowel Dis. 2016 Nov;22(11):2678-2687.","Inflamm Bowel Dis.  2016","PubMed","citation","PMID:27755269","pubmed","27755269","create date:2016/10/19 | first author:Reich J",
"Common Statistical Pitfalls in Basic Science Research.","/pubmed/27688237","Sullivan LM, Weinberg J, Keaney JF Jr.","J Am Heart Assoc. 2016 Sep 29;5(10). pii: e004142. Review. No abstract available. ","J Am Heart Assoc.  2016","PubMed","citation","PMID:27688237","pubmed","27688237","create date:2016/10/01 | first author:Sullivan LM",
"Association Between Inferior Vena Cava Filter Insertion in Trauma Patients and In-Hospital and Overall Mortality.","/pubmed/27682367","Sarosiek S, Rybin D, Weinberg J, Burke PA, Kasotakis G, Sloan JM.","JAMA Surg. 2016 Sep 28. doi: 10.1001/jamasurg.2016.3091.","JAMA Surg.  2016","PubMed","citation","PMID:27682367","pubmed","27682367","create date:2016/09/30 | first author:Sarosiek S",
"Gun violence in Americans' social network during their lifetime.","/pubmed/27667339","Kalesan B, Weinberg J, Galea S.","Prev Med. 2016 Sep 22;93:53-56. doi: 10.1016/j.ypmed.2016.09.025.","Prev Med.  2016","PubMed","citation","PMID:27667339","pubmed","27667339","create date:2016/10/25 | first author:Kalesan B",
"Elucidating Reasons for Resident Underutilization of Electronic Adverse Event Reporting.","/pubmed/25753451","Hatoun J, Suen W, Liu C, Shea S, Patts G, Weinberg J, Eng J.","Am J Med Qual. 2016 Jul;31(4):308-14. doi: 10.1177/1062860615574504.","Am J Med Qual.  2016","PubMed","citation","PMID:25753451","pubmed","25753451","create date:2015/03/11 | first author:Hatoun J",
"Polybrominated diphenyl ether exposure and reproductive hormones in North American men.","/pubmed/27094376","Makey CM, McClean MD, Braverman LE, Pearce EN, Sjödin A, Weinberg J, Webster TF.","Reprod Toxicol. 2016 Jul;62:46-52. doi: 10.1016/j.reprotox.2016.04.009.","Reprod Toxicol.  2016","PubMed","citation","PMID:27094376","pubmed","27094376","create date:2016/04/21 | first author:Makey CM",
"A survey based study on sleep disturbance in postural tachycardia syndrome.","/pubmed/27206906","Xu X, Huang H, Sethi S, Zuzuárregui JR, Weinberg J, Hohler AD.","J Neurol Sci. 2016 Jun 15;365:199-202. doi: 10.1016/j.jns.2016.04.028.","J Neurol Sci.  2016","PubMed","citation","PMID:27206906","pubmed","27206906","create date:2016/05/22 | first author:Xu X",
"Psychosocial Clusters and their Associations with Well-Being and Health: An Empirical Strategy for Identifying Psychosocial Predictors Most Relevant to Racially/Ethnically Diverse Women's Health.","/pubmed/27279761","Jabson JM, Bowen D, Weinberg J, Kroenke C, Luo J, Messina C, Shumaker S, Tindle HA.","Clin Med Insights Womens Health. 2016 Jun 6;9(Suppl 1):31-40. doi: 10.4137/CMWH.S34692.","Clin Med Insights Womens Health.  2016","PubMed","citation","PMID:27279761 | PMCID:PMC4896535","pubmed","27279761","create date:2016/06/10 | first author:Jabson JM",
"Yoga versus education for Veterans with chronic low back pain: study protocol for a randomized controlled trial.","/pubmed/27129472","Saper RB, Lemaster CM, Elwy AR, Paris R, Herman PM, Plumb DN, Sherman KJ, Groessl EJ, Lynch S, Wang S, Weinberg J.","Trials. 2016 Apr 29;17(1):224. doi: 10.1186/s13063-016-1321-5.","Trials.  2016","PubMed","citation","PMID:27129472 | PMCID:PMC4850721","pubmed","27129472","create date:2016/05/01 | first author:Saper RB",
"Polybrominated Diphenyl Ether Exposure and Thyroid Function Tests in North American Adults.","/pubmed/26372669","Makey CM, McClean MD, Braverman LE, Pearce EN, He XM, Sjödin A, Weinberg JM, Webster TF.","Environ Health Perspect. 2016 Apr;124(4):420-5. doi: 10.1289/ehp.1509755.","Environ Health Perspect.  2016","PubMed","citation","PMID:26372669 | PMCID:PMC4829976","pubmed","26372669","create date:2015/09/16 | first author:Makey CM",
