Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.","/pubmed/27770636","Mez J, Chung J, Jun G, Kriegel J, Bourlas AP, Sherva R, Logue MW, Barnes LL, Bennett DA, Buxbaum JD, Byrd GS, Crane PK, Ertekin-Taner N, Evans D, Fallin MD, Foroud T, Goate A, Graff-Radford NR, Hall KS, Kamboh MI, Kukull WA, Larson EB, et al.","Alzheimers Dement. 2016 Oct 19. pii: S1552-5260(16)32931-4. doi: 10.1016/j.jalz.2016.09.002.","Alzheimers Dement.  2016","PubMed","citation","PMID:27770636","pubmed","27770636","create date:2016/10/23 | first author:Mez J",
"GWAS analysis of handgrip and lower body strength in older adults in the CHARGE consortium.","/pubmed/27325353","Matteini AM, Tanaka T, Karasik D, Atzmon G, Chou WC, Eicher JD, Johnson AD, Arnold AM, Callisaya ML, Davies G, Evans DS, Holtfreter B, Lohman K, Lunetta KL, Mangino M, Smith AV, Smith JA, Teumer A, Yu L, Arking DE, Buchman AS, Chibinik LB, et al.","Aging Cell. 2016 Oct;15(5):792-800. doi: 10.1111/acel.12468.","Aging Cell.  2016","PubMed","citation","PMID:27325353 | PMCID:PMC5013019","pubmed","27325353","create date:2016/06/22 | first author:Matteini AM",
"Genetic variations in the Hippo signaling pathway and breast cancer risk in African American women in the AMBER Consortium.","/pubmed/27485598","Zhang J, Yao S, Hu Q, Zhu Q, Liu S, Lunetta KL, Haddad SA, Yang N, Shen H, Hong CC, Sucheston-Campbell L, Ruiz-Narvaez EA, Bensen JT, Troester MA, Bandera EV, Rosenberg L, Haiman CA, Olshan AF, Palmer JR, Ambrosone CB.","Carcinogenesis. 2016 Oct;37(10):951-6. doi: 10.1093/carcin/bgw077.","Carcinogenesis.  2016","PubMed","citation","PMID:27485598 | PMCID:PMC5035397","pubmed","27485598","create date:2016/08/04 | first author:Zhang J",
"DNA methylation-based measures of biological age: meta-analysis predicting time to death.","/pubmed/27690265","Chen BH, Marioni RE, Colicino E, Peters MJ, Ward-Caviness CK, Tsai PC, Roetker NS, Just AC, Demerath EW, Guan W, Bressler J, Fornage M, Studenski S, Vandiver AR, Moore AZ, Tanaka T, Kiel DP, Liang L, Vokonas P, Schwartz J, Lunetta KL, Murabito JM, et al.","Aging (Albany NY). 2016 Sep 28;8(9):1844-1865. doi: 10.18632/aging.101020.","Aging (Albany NY).  2016","PubMed","citation","PMID:27690265","pubmed","27690265","create date:2016/10/01 | first author:Chen BH",
"Admixture Mapping of African-American Women in the AMBER Consortium Identifies New Loci for Breast Cancer and Estrogen-Receptor Subtypes.","/pubmed/27708667","Ruiz-Narváez EA, Sucheston-Campbell L, Bensen JT, Yao S, Haddad S, Haiman CA, Bandera EV, John EM, Bernstein L, Hu JJ, Ziegler RG, Deming SL, Olshan AF, Ambrosone CB, Palmer JR, Lunetta KL.","Front Genet. 2016 Sep 21;7:170.","Front Genet.  2016","PubMed","citation","PMID:27708667","pubmed","27708667","create date:2016/10/07 | first author:Ruiz-Narváez EA",
"Genome-wide Association Studies in Women of African Ancestry Identified 3q26.21 as a Novel Susceptibility Locus for Estrogen Receptor Negative Breast Cancer.","/pubmed/27594435","Huo D, Feng Y, Haddad S, Zheng Y, Yao S, Han YJ, Ogundiran TO, Adebamowo C, Ojengbede O, Falusi AG, Zheng W, Blot W, Cai Q, Signorello L, John EM, Bernstein L, Hu JJ, Ziegler RG, Nyante S, Bandera EV, Ingles SA, Press MF, et al.","Hum Mol Genet. 2016 Sep 4. pii: ddw305.","Hum Mol Genet.  2016","PubMed","citation","PMID:27594435","pubmed","27594435","create date:2016/09/07 | first author:Huo D",
"Whole Exome Sequencing in Atrial Fibrillation.","/pubmed/27589061","Lubitz SA, Brody JA, Bihlmeyer NA, Roselli C, Weng LC, Christophersen IE, Alonso A, Boerwinkle E, Gibbs RA, Bis JC; NHLBI GO Exome Sequencing Project., Cupples LA, Mohler PJ, Nickerson DA, Muzny D, Perez MV, Psaty BM, Soliman EZ, Sotoodehnia N, Lunetta KL, Benjamin EJ, Heckbert SR, et al.","PLoS Genet. 2016 Sep 2;12(9):e1006284. doi: 10.1371/journal.pgen.1006284.","PLoS Genet.  2016","PubMed","citation","PMID:27589061 | PMCID:PMC5010214","pubmed","27589061","create date:2016/09/03 | first author:Lubitz SA",
"An exome-wide analysis of low frequency and rare variants in relation to risk of breast cancer in African American Women: the AMBER Consortium.","/pubmed/27267999","Haddad SA, Ruiz-Narváez EA, Haiman CA, Sucheston-Campbell LE, Bensen JT, Zhu Q, Liu S, Yao S, Bandera EV, Rosenberg L, Olshan AF, Ambrosone CB, Palmer JR, Lunetta KL.","Carcinogenesis. 2016 Sep;37(9):870-7. doi: 10.1093/carcin/bgw067.","Carcinogenesis.  2016","PubMed","citation","PMID:27267999 | PMCID:PMC5008246","pubmed","27267999","create date:2016/06/09 | first author:Haddad SA",
"Somatic, positive and negative domains of the Center for Epidemiological Studies Depression (CES-D) scale: a meta-analysis of genome-wide association studies.","/pubmed/26997408","Demirkan A, Lahti J, Direk N, Viktorin A, Lunetta KL, Terracciano A, Nalls MA, Tanaka T, Hek K, Fornage M, Wellmann J, Cornelis MC, Ollila HM, Yu L, Smith JA, Pilling LC, Isaacs A, Palotie A, Zhuang WV, Zonderman A, Faul JD, Sutin A, et al.","Psychol Med. 2016 Jun;46(8):1613-23. doi: 10.1017/S0033291715002081.","Psychol Med.  2016","PubMed","citation","PMID:26997408","pubmed","26997408","create date:2016/03/22 | first author:Demirkan A",
"Evaluation of a Two-Stage Approach in Trans-Ethnic Meta-Analysis in Genome-Wide Association Studies.","/pubmed/27061095","Hong J, Lunetta KL, Cupples LA, Dupuis J, Liu CT.","Genet Epidemiol. 2016 May;40(4):284-92. doi: 10.1002/gepi.21963.","Genet Epidemiol.  2016","PubMed","citation","PMID:27061095 | PMCID:PMC4833581","pubmed","27061095","create date:2016/04/12 | first author:Hong J",
"Genetic variations in vitamin D-related pathways and breast cancer risk in African American women in the AMBER consortium.","/pubmed/26650177","Yao S, Haddad SA, Hu Q, Liu S, Lunetta KL, Ruiz-Narvaez EA, Hong CC, Zhu Q, Sucheston-Campbell L, Cheng TY, Bensen JT, Johnson CS, Trump DL, Haiman CA, Olshan AF, Palmer JR, Ambrosone CB.","Int J Cancer. 2016 May 1;138(9):2118-26. doi: 10.1002/ijc.29954.","Int J Cancer.  2016","PubMed","citation","PMID:26650177","pubmed","26650177","create date:2015/12/10 | first author:Yao S",
"Association of an Index of Healthy Aging With Incident Cardiovascular Disease and Mortality in a Community-Based Sample of Older Adults.","/pubmed/27117172","McCabe EL, Larson MG, Lunetta KL, Newman AB, Cheng S, Murabito JM.","J Gerontol A Biol Sci Med Sci. 2016 Apr 26. pii: glw077.","J Gerontol A Biol Sci Med Sci.  2016","PubMed","citation","PMID:27117172","pubmed","27117172","create date:2016/04/28 | first author:McCabe EL",
"Global and local ancestry in African-Americans: Implications for Alzheimer's disease risk.","/pubmed/26092349","Hohman TJ, Cooke-Bailey JN, Reitz C, Jun G, Naj A, Beecham GW, Liu Z, Carney RM, Vance JM, Cuccaro ML, Rajbhandary R, Vardarajan BN, Wang LS, Valladares O, Lin CF, Larson EB, Graff-Radford NR, Evans D, De Jager PL, Crane PK, Buxbaum JD, Murrell JR, et al.","Alzheimers Dement. 2016 Mar;12(3):233-43. doi: 10.1016/j.jalz.2015.02.012.","Alzheimers Dement.  2016","PubMed","citation","PMID:26092349 | PMCID:PMC4681680","pubmed","26092349","create date:2015/06/21 | first author:Hohman TJ",
"Family History of Cancer in Relation to Breast Cancer Subtypes in African American Women.","/pubmed/26721669","Bethea TN, Rosenberg L, Castro-Webb N, Lunetta KL, Sucheston-Campbell LE, Ruiz-Narváez EA, Charlot M, Park SY, Bandera EV, Troester MA, Ambrosone CB, Palmer JR.","Cancer Epidemiol Biomarkers Prev. 2016 Feb;25(2):366-73. doi: 10.1158/1055-9965.EPI-15-1068.","Cancer Epidemiol Biomarkers Prev.  2016","PubMed","citation","PMID:26721669 | PMCID:PMC4767636","pubmed","26721669","create date:2016/01/02 | first author:Bethea TN",
