Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A critical analysis of unplanned ICU transfer within 48 hours from ED admission as a quality measure.","/pubmed/27241571","Dahn CM, Manasco AT, Breaud AH, Kim S, Rumas N, Moin O, Mitchell PM, Nelson KP, Baker W, Feldman JA.","Am J Emerg Med. 2016 Aug;34(8):1505-10. doi: 10.1016/j.ajem.2016.05.009.","Am J Emerg Med.  2016","PubMed","citation","PMID:27241571","pubmed","27241571","create date:2016/06/01 | first author:Dahn CM",
"A measure of association for ordered categorical data in population-based studies.","/pubmed/27184590","Nelson KP, Edwards D.","Stat Methods Med Res. 2016 May 16. pii: 0962280216643347.","Stat Methods Med Res.  2016","PubMed","citation","PMID:27184590","pubmed","27184590","create date:2016/05/18 | first author:Nelson KP",
"The association between benzodiazepine prescription and aberrant drug-related behaviors in primary care patients receiving opioids for chronic pain.","/pubmed/27092738","Park TW, Saitz R, Nelson KP, Xuan Z, Liebschutz JM, Lasser KE.","Subst Abus. 2016 Apr 19:1-5.","Subst Abus.  2016","PubMed","citation","PMID:27092738","pubmed","27092738","create date:2016/10/21 | first author:Park TW",
"Measures of agreement between many raters for ordinal classifications.","/pubmed/26095449","Nelson KP, Edwards D.","Stat Med. 2015 Oct 15;34(23):3116-32. doi: 10.1002/sim.6546.","Stat Med.  2015","PubMed","citation","PMID:26095449 | PMCID:PMC4560692","pubmed","26095449","create date:2015/06/23 | first author:Nelson KP",
"Opioid education and nasal naloxone rescue kits in the emergency department.","/pubmed/25987910","Dwyer K, Walley AY, Langlois BK, Mitchell PM, Nelson KP, Cromwell J, Bernstein E.","West J Emerg Med. 2015 May;16(3):381-4. doi: 10.5811/westjem.2015.2.24909.","West J Emerg Med.  2015","PubMed","citation","PMID:25987910 | PMCID:PMC4427207","pubmed","25987910","create date:2015/05/20 | first author:Dwyer K",
"Characteristics of emergency department ""doctor shoppers"".","/pubmed/25638051","Weiner SG, Griggs CA, Langlois BK, Mitchell PM, Nelson KP, Friedman FD, Feldman JA.","J Emerg Med. 2015 Apr;48(4):424-31.e1. doi: 10.1016/j.jemermed.2014.11.008.","J Emerg Med.  2015","PubMed","citation","PMID:25638051","pubmed","25638051","create date:2015/02/02 | first author:Weiner SG",
"ATTRIBUTES OF FORM IN THE BUILT ENVIRONMENT THAT INFLUENCE PERCEIVED WALKABILITY.","/pubmed/25554719","Oreskovic NM, Charles PR, Shepherd DT, Nelson KP, Bar M.","J Archit Plann Res. 2014 Fall;31(3):218-232.","J Archit Plann Res.  2014","PubMed","citation","PMID:25554719 | PMCID:PMC4278351","pubmed","25554719","create date:2015/01/03 | first author:Oreskovic NM",
"Examining the nuclear medicine advanced associate: past, present, and future-a white paper presented by members of the graduate stakeholders committee of the SNMMI technologist section.","/pubmed/25125451","Owen MA, Gilmore CD, Henkin R, Baldwin J, Bires AM, Nelson KP, Wilkinson D, Holbrook S, Hubble W, Mann A, Sobey K, Wintering NA.","J Nucl Med Technol. 2014 Sep;42(3):223-7. doi: 10.2967/jnmt.114.146365. Review. No abstract available. ","J Nucl Med Technol.  2014","PubMed","citation","PMID:25125451","pubmed","25125451","create date:2014/08/16 | first author:Owen MA",
"Clinical research: the future of the molecular imaging technologist-a white paper presented by members of the graduate stakeholders committee of the SNMMI technologist section.","/pubmed/25125447","Holbrook S, Baldwin J, Gilmore CD, Henkin R, Hubble W, Kiss C, Bires AM, Mann A, Nelson KP, Owen MA, Sobey K, Stuckey A, Wenzel-Lamb N, Wilkinson D, Wintering NA.","J Nucl Med Technol. 2014 Sep;42(3):228-32. doi: 10.2967/jnmt.114.146373. No abstract available. ","J Nucl Med Technol.  2014","PubMed","citation","PMID:25125447","pubmed","25125447","create date:2014/08/16 | first author:Holbrook S",
"Consuming a hypocaloric high fat low carbohydrate diet for 12 weeks lowers C-reactive protein, and raises serum adiponectin and high density lipoprotein-cholesterol in obese subjects.","/pubmed/24075505","Ruth MR, Port AM, Shah M, Bourland AC, Istfan NW, Nelson KP, Gokce N, Apovian CM.","Metabolism. 2013 Dec;62(12):1779-87. doi: 10.1016/j.metabol.2013.07.006. Erratum in: Metabolism. 2014 Mar;63(3):e1. ","Metabolism.  2013","PubMed","citation","PMID:24075505 | PMCID:PMC3845365","pubmed","24075505","create date:2013/10/01 | first author:Ruth MR",
"Clinician impression versus prescription drug monitoring program criteria in the assessment of drug-seeking behavior in the emergency department.","/pubmed/23849618","Weiner SG, Griggs CA, Mitchell PM, Langlois BK, Friedman FD, Moore RL, Lin SC, Nelson KP, Feldman JA.","Ann Emerg Med. 2013 Oct;62(4):281-9. doi: 10.1016/j.annemergmed.2013.05.025.","Ann Emerg Med.  2013","PubMed","citation","PMID:23849618","pubmed","23849618","create date:2013/07/16 | first author:Weiner SG",
"Does the preparation and utilization of 99mTc-sulfur colloid affect the outcomes of breast lymphoscintigraphy?","/pubmed/23628647","Nelson KP, Choudhury KR, Coleman RE, Shipes SW, Siler WL, Hubble WL, Wong TZ.","J Nucl Med Technol. 2013 Jun;41(2):92-8. doi: 10.2967/jnmt.112.117820.","J Nucl Med Technol.  2013","PubMed","citation","PMID:23628647","pubmed","23628647","create date:2013/05/01 | first author:Nelson KP",
"Electrocardiographic PR interval and adverse outcomes in older adults: the Health, Aging, and Body Composition study.","/pubmed/23243193","Magnani JW, Wang N, Nelson KP, Connelly S, Deo R, Rodondi N, Schelbert EB, Garcia ME, Phillips CL, Shlipak MG, Harris TB, Ellinor PT, Benjamin EJ; Health, Aging, and Body Composition Study..","Circ Arrhythm Electrophysiol. 2013 Feb;6(1):84-90. doi: 10.1161/CIRCEP.112.975342.","Circ Arrhythm Electrophysiol.  2013","PubMed","citation","PMID:23243193 | PMCID:PMC3613778","pubmed","23243193","create date:2012/12/18 | first author:Magnani JW",
"Age of natural menopause and atrial fibrillation: the Framingham Heart Study.","/pubmed/22520541","Magnani JW, Moser CB, Murabito JM, Nelson KP, Fontes JD, Lubitz SA, Sullivan LM, Ellinor PT, Benjamin EJ.","Am Heart J. 2012 Apr;163(4):729-34. doi: 10.1016/j.ahj.2012.01.010.","Am Heart J.  2012","PubMed","citation","PMID:22520541 | PMCID:PMC3334861","pubmed","22520541","create date:2012/04/24 | first author:Magnani JW",
"Improving the reliability of diagnostic tests in population-based agreement studies.","/pubmed/20128018","Nelson KP, Edwards D.","Stat Med. 2010 Mar 15;29(6):617-26. doi: 10.1002/sim.3819.","Stat Med.  2010","PubMed","citation","PMID:20128018","pubmed","20128018","create date:2010/02/04 | first author:Nelson KP",
"Comparing the Ethnic Identity and Well-Being of Adopted Korean Americans with Immigrant/U.S.-Born Korean Americans and Korean International Students.","/pubmed/20694190","Lee RM, Yun AB, Yoo HC, Nelson KP.","Adopt Q. 2010 Jan;13(1):2-17.","Adopt Q.  2010","PubMed","citation","PMID:20694190 | PMCID:PMC2915782","pubmed","20694190","create date:2010/08/10 | first author:Lee RM",
"Statistical models for autocorrelated count data.","/pubmed/16196078","Nelson KP, Leroux BG.","Stat Med. 2006 Apr 30;25(8):1413-30.","Stat Med.  2006","PubMed","citation","PMID:16196078","pubmed","16196078","create date:2005/10/01 | first author:Nelson KP",
"Technological advances in powered wheelchairs.","/pubmed/15099188","Edlich RF, Nelson KP, Foley ML, Buschbacher RM, Long WB, Ma EK.","J Long Term Eff Med Implants. 2004;14(2):107-30.","J Long Term Eff Med Implants.  2004","PubMed","citation","PMID:15099188","pubmed","15099188","create date:2004/04/22 | first author:Edlich RF",
"Behavior of adult and aged mice before and after central injection of interleukin-1beta.","/pubmed/10386913","Nelson KP, Marks NL, Heyen JR, Johnson RW.","Physiol Behav. 1999 Jun;66(4):673-9.","Physiol Behav.  1999","PubMed","citation","PMID:10386913","pubmed","10386913","create date:1999/07/01 | first author:Nelson KP",
"The febrile stress of routine vaccination does not increase central apnoea in normal infants.","/pubmed/9307170","Tappin DM, Ford RP, Nelson KP, Price B, Macey PM, Dove R.","Acta Paediatr. 1997 Aug;86(8):873-80.","Acta Paediatr.  1997","PubMed","citation","PMID:9307170","pubmed","9307170","create date:1997/08/01 | first author:Tappin DM",
"Breathing, sleep state, and rectal temperature oscillations.","/pubmed/8669959","Tappin DM, Ford RP, Nelson KP, Price B, Macey PM, Dove R, Larkin J, Slade B.","Arch Dis Child. 1996 May;74(5):427-31.","Arch Dis Child.  1996","PubMed","citation","PMID:8669959 | PMCID:PMC1511530","pubmed","8669959","create date:1996/05/01 | first author:Tappin DM",
"Prevalence of smoking in early pregnancy by census area: measured by anonymous cotinine testing of residual antenatal blood samples.","/pubmed/8606834","Tappin DM, Ford RP, Nelson KP, Wild CJ.","N Z Med J. 1996 Mar 22;109(1018):101-3.","N Z Med J.  1996","PubMed","citation","PMID:8606834","pubmed","8606834","create date:1996/03/22 | first author:Tappin DM",
"Higher rates of SIDS persist in low income groups.","/pubmed/8554860","Ford RP, Nelson KP.","J Paediatr Child Health. 1995 Oct;31(5):408-11.","J Paediatr Child Health.  1995","PubMed","citation","PMID:8554860","pubmed","8554860","create date:1995/10/01 | first author:Ford RP",
"Women in low income groups smoke more: Canterbury 1976-92.","/pubmed/7761051","Nelson KP, Ford RP, Wild CJ.","N Z Med J. 1995 Apr 26;108(998):148-50.","N Z Med J.  1995","PubMed","citation","PMID:7761051","pubmed","7761051","create date:1995/04/26 | first author:Nelson KP",
"Travel and changes in routine do not increase the risk of sudden infant death syndrome.","/pubmed/7981557","Mitchell EA, Nelson KP, Thompson JM, Stewart AW, Taylor BJ, Ford RP, Scragg R, Becroft DM, Allen EA, Hassall IB, et al.","Acta Paediatr. 1994 Aug;83(8):815-8.","Acta Paediatr.  1994","PubMed","citation","PMID:7981557","pubmed","7981557","create date:1994/08/01 | first author:Mitchell EA",
"Efficacy of heavy-resistance training for active women over sixty: muscular strength, body composition, and program adherence.","/pubmed/8440838","Nichols JF, Omizo DK, Peterson KK, Nelson KP.","J Am Geriatr Soc. 1993 Mar;41(3):205-10.","J Am Geriatr Soc.  1993","PubMed","citation","PMID:8440838","pubmed","8440838","create date:1993/03/01 | first author:Nichols JF",
"Is sequential low-dose immunotherapy the preferred treatment in cadaveric renal transplantation?","/pubmed/2652519","Posner MP, Mendez-Picon G, King A, Nelson KP, Spicer HG, Lee HM.","Transplant Proc. 1989 Feb;21(1 Pt 2):1594-7. No abstract available. ","Transplant Proc.  1989","PubMed","citation","PMID:2652519","pubmed","2652519","create date:1989/02/01 | first author:Posner MP",
"Diabetogenic effect of pentamidine. In vitro and in vivo studies in a patient with malignant insulinoma.","/pubmed/6331162","Osei K, Falko JM, Nelson KP, Stephens R.","Am J Med. 1984 Jul;77(1):41-6.","Am J Med.  1984","PubMed","citation","PMID:6331162","pubmed","6331162","create date:1984/07/01 | first author:Osei K",
