Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Health Care Use and Spending for Medicaid Enrollees in Federally Qualified Health Centers Versus Other Primary Care Settings.","/pubmed/27631748","Nocon RS, Lee SM, Sharma R, Ngo-Metzger Q, Mukamel DB, Gao Y, White LM, Shi L, Chin MH, Laiteerapong N, Huang ES.","Am J Public Health. 2016 Nov;106(11):1981-1989.","Am J Public Health.  2016","PubMed","citation","PMID:27631748","pubmed","27631748","create date:2016/09/16 | first author:Nocon RS",
"Ambient Air Pollution and 16-Year Weight Change in African-American Women.","/pubmed/27085690","White LF, Jerrett M, Yu J, Marshall JD, Rosenberg L, Coogan PF.","Am J Prev Med. 2016 Oct;51(4):e99-e105. doi: 10.1016/j.amepre.2016.03.007.","Am J Prev Med.  2016","PubMed","citation","PMID:27085690 | PMCID:PMC5030115","pubmed","27085690","create date:2016/04/18 | first author:White LF",
"Hepatitis C Core Antigen Testing for Diagnosis of Hepatitis C Virus Infection: A Systematic Review and Meta-analysis.","/pubmed/27322622","Freiman JM, Tran TM, Schumacher SG, White LF, Ongarello S, Cohn J, Easterbrook PJ, Linas BP, Denkinger CM.","Ann Intern Med. 2016 Sep 6;165(5):345-55. doi: 10.7326/M16-0065.","Ann Intern Med.  2016","PubMed","citation","PMID:27322622","pubmed","27322622","create date:2016/06/21 | first author:Freiman JM",
"Detection and Quantification of Mycobacterium tuberculosis in the Sputum of Culture-Negative HIV-infected Pulmonary Tuberculosis Suspects: A Proof-of-Concept Study.","/pubmed/27391604","Madico G, Mpeirwe M, White L, Vinhas S, Orr B, Orikiriza P, Miller NS, Gaeddert M, Mwanga-Amumpaire J, Palaci M, Kreiswirth B, Straight J, Dietze R, Boum Y 2nd, Jones-López EC.","PLoS One. 2016 Jul 8;11(7):e0158371. doi: 10.1371/journal.pone.0158371.","PLoS One.  2016","PubMed","citation","PMID:27391604 | PMCID:PMC4938528","pubmed","27391604","create date:2016/07/09 | first author:Madico G",
"Cough Aerosols of Mycobacterium tuberculosis in the Prediction of Incident Tuberculosis Disease in Household Contacts.","/pubmed/27025837","Jones-López EC, Acuña-Villaorduña C, Ssebidandi M, Gaeddert M, Kubiak RW, Ayakaka I, White LF, Joloba M, Okwera A, Fennelly KP.","Clin Infect Dis. 2016 Jul 1;63(1):10-20. doi: 10.1093/cid/ciw199.","Clin Infect Dis.  2016","PubMed","citation","PMID:27025837 | PMCID:PMC5006106","pubmed","27025837","create date:2016/03/31 | first author:Jones-López EC",
"Long term exposure to NO2 and diabetes incidence in the Black Women's Health Study.","/pubmed/27124624","Coogan PF, White LF, Yu J, Burnett RT, Marshall JD, Seto E, Brook RD, Palmer JR, Rosenberg L, Jerrett M.","Environ Res. 2016 Jul;148:360-6. doi: 10.1016/j.envres.2016.04.021.","Environ Res.  2016","PubMed","citation","PMID:27124624 | PMCID:PMC4874900","pubmed","27124624","create date:2016/04/29 | first author:Coogan PF",
"Tuberculosis transmission: sputum vs aerosols.","/pubmed/27352747","Acuña-Villaorduña C, White LF, Fennelly KP, Jones-López EC.","Lancet Infect Dis. 2016 Jul;16(7):770-1. doi: 10.1016/S1473-3099(16)30075-5. No abstract available. ","Lancet Infect Dis.  2016","PubMed","citation","PMID:27352747","pubmed","27352747","create date:2016/06/30 | first author:Acuña-Villaorduña C",
"Detained Adolescents: Mental Health Needs, Treatment Use, and Recidivism.","/pubmed/27236176","White LM, Lau KS, Aalsma MC.","J Am Acad Psychiatry Law. 2016 Jun;44(2):200-12.","J Am Acad Psychiatry Law.  2016","PubMed","citation","PMID:27236176","pubmed","27236176","create date:2016/05/29 | first author:White LM",
"Comparing the Cost of Caring for Medicare Beneficiaries in Federally Funded Health Centers to Other Care Settings.","/pubmed/26213167","Mukamel DB, White LM, Nocon RS, Huang ES, Sharma R, Shi L, Ngo-Metzger Q.","Health Serv Res. 2016 Apr;51(2):625-44. doi: 10.1111/1475-6773.12339.","Health Serv Res.  2016","PubMed","citation","PMID:26213167 | PMCID:PMC4799905","pubmed","26213167","create date:2015/07/28 | first author:Mukamel DB",
"PM2.5 and Diabetes and Hypertension Incidence in the Black Women's Health Study.","/pubmed/26595125","Coogan PF, White LF, Yu J, Burnett RT, Seto E, Brook RD, Palmer JR, Rosenberg L, Jerrett M.","Epidemiology. 2016 Mar;27(2):202-10. doi: 10.1097/EDE.0000000000000418.","Epidemiology.  2016","PubMed","citation","PMID:26595125","pubmed","26595125","create date:2015/11/26 | first author:Coogan PF",
"Subpubic Cartilaginous Cyst: A Rare Sub-Clitoral Mass.","/pubmed/27032732","Healy CF, Pang E, Bakhsh S, White L, McAlpine JN, Yee WC, Harris AC.","J Obstet Gynaecol Can. 2016 Feb;38(2):102-3. doi: 10.1016/j.jogc.2015.12.005. English, French.  No abstract available. ","J Obstet Gynaecol Can.  2016","PubMed","citation","PMID:27032732","pubmed","27032732","create date:2016/04/02 | first author:Healy CF",
"Temporal aspects of air pollutant measures in epidemiologic analysis: a simulation study.","/pubmed/26791428","White LF, Yu J, Jerrett M, Coogan P.","Sci Rep. 2016 Jan 21;6:19691. doi: 10.1038/srep19691.","Sci Rep.  2016","PubMed","citation","PMID:26791428 | PMCID:PMC4726372","pubmed","26791428","create date:2016/01/23 | first author:White LF",
"The ""Critical"" Elements of Illness Management and Recovery: Comparing Methodological Approaches.","/pubmed/25425013","McGuire AB, Luther L, White D, White LM, McGrew J, Salyers MP.","Adm Policy Ment Health. 2016 Jan;43(1):1-10. doi: 10.1007/s10488-014-0614-9.","Adm Policy Ment Health.  2016","PubMed","citation","PMID:25425013 | PMCID:PMC5015682","pubmed","25425013","create date:2014/11/27 | first author:McGuire AB",
"Factors Associated With Hospital Length of Stay Following Fibular Free-Tissue Reconstruction of Head and Neck Defects: Assessment Using the American College of Surgeons National Surgical Quality Improvement Program (ACS NSQIP) Criteria.","/pubmed/25905986","White LJ, Zhang H, Strickland KF, El-Deiry MW, Patel MR, Wadsworth JT, Chen AY.","JAMA Otolaryngol Head Neck Surg. 2015 Dec;141(12):1052-8. doi: 10.1001/jamaoto.2015.0756. Erratum in: JAMA Otolaryngol Head Neck Surg. 2015 Dec;141(12):1095. ","JAMA Otolaryngol Head Neck Surg.  2015","PubMed","citation","PMID:25905986","pubmed","25905986","create date:2015/04/24 | first author:White LJ",
"Factors affecting implementation of an evidence-based practice in the Veterans Health Administration: Illness management and recovery.","/pubmed/25844913","McGuire AB, Salyers MP, White DA, Gilbride DJ, White LM, Kean J, Kukla M.","Psychiatr Rehabil J. 2015 Dec;38(4):300-5. doi: 10.1037/prj0000116.","Psychiatr Rehabil J.  2015","PubMed","citation","PMID:25844913","pubmed","25844913","create date:2015/04/07 | first author:McGuire AB",
"Cough Aerosol Cultures of Mycobacterium tuberculosis: Insights on TST / IGRA Discordance and Transmission Dynamics.","/pubmed/26394149","Jones-López EC, White LF, Kirenga B, Mumbowa F, Ssebidandi M, Moine S, Mbabazi O, Mboowa G, Ayakaka I, Kim S, Thornton CS, Okwera A, Joloba M, Fennelly KP.","PLoS One. 2015 Sep 22;10(9):e0138358. doi: 10.1371/journal.pone.0138358.","PLoS One.  2015","PubMed","citation","PMID:26394149 | PMCID:PMC4578948","pubmed","26394149","create date:2015/09/24 | first author:Jones-López EC",
"Job-related burnout among juvenile probation officers: Implications for mental health stigma and competency.","/pubmed/26009896","White LM, Aalsma MC, Holloway ED, Adams EL, Salyers MP.","Psychol Serv. 2015 Aug;12(3):291-302. doi: 10.1037/ser0000031.","Psychol Serv.  2015","PubMed","citation","PMID:26009896","pubmed","26009896","create date:2015/05/27 | first author:White LM",
"Behavioral Health Care Needs, Detention-Based Care, and Criminal Recidivism at Community Reentry From Juvenile Detention: A Multisite Survival Curve Analysis.","/pubmed/25973804","Aalsma MC, White LM, Lau KS, Perkins A, Monahan P, Grisso T.","Am J Public Health. 2015 Jul;105(7):1372-8. doi: 10.2105/AJPH.2014.302529.","Am J Public Health.  2015","PubMed","citation","PMID:25973804","pubmed","25973804","create date:2015/05/15 | first author:Aalsma MC",
"Treatment of Cases of Neisseria gonorrhoeae and Chlamydia trachomatis in Emergency Department Patients.","/pubmed/26222746","Schechter-Perkins EM, Jenkins D, White LF, Mitchell PM.","Sex Transm Dis. 2015 Jul;42(7):353-7. doi: 10.1097/OLQ.0000000000000299.","Sex Transm Dis.  2015","PubMed","citation","PMID:26222746","pubmed","26222746","create date:2015/07/30 | first author:Schechter-Perkins EM",
"Stress Management and Relaxation Techniques use among underserved inpatients in an inner city hospital.","/pubmed/26051576","Gardiner P, Sadikova E, Filippelli AC, Mitchell S, White LF, Saper R, Kaptchuk TJ, Jack BW, Fredman L.","Complement Ther Med. 2015 Jun;23(3):405-12. doi: 10.1016/j.ctim.2015.03.006.","Complement Ther Med.  2015","PubMed","citation","PMID:26051576 | PMCID:PMC4460566","pubmed","26051576","create date:2015/06/09 | first author:Gardiner P",
"Measuring preparedness for mammography in women with intellectual disabilities: a validation study of the Mammography Preparedness Measure.","/pubmed/25266546","Wang CT, Greenwood N, White LF, Wilkinson J.","J Appl Res Intellect Disabil. 2015 May;28(3):212-22. doi: 10.1111/jar.12123.","J Appl Res Intellect Disabil.  2015","PubMed","citation","PMID:25266546 | PMCID:PMC4379134","pubmed","25266546","create date:2014/10/01 | first author:Wang CT",
"Medical reconciliation of dietary supplements: don't ask, don't tell.","/pubmed/25636694","Gardiner P, Sadikova E, Filippelli AC, White LF, Jack BW.","Patient Educ Couns. 2015 Apr;98(4):512-7. doi: 10.1016/j.pec.2014.12.010.","Patient Educ Couns.  2015","PubMed","citation","PMID:25636694 | PMCID:PMC4404157","pubmed","25636694","create date:2015/02/01 | first author:Gardiner P",
"The impact of prior information on estimates of disease transmissibility using Bayesian tools.","/pubmed/25793993","Moser CB, Gupta M, Archer BN, White LF.","PLoS One. 2015 Mar 20;10(3):e0118762. doi: 10.1371/journal.pone.0118762.","PLoS One.  2015","PubMed","citation","PMID:25793993 | PMCID:PMC4368801","pubmed","25793993","create date:2015/03/21 | first author:Moser CB",
"Effectiveness of a computer module to augment the training of school staff in the management of students with food allergies.","/pubmed/25577569","White L, Aubin J, Bradford C, Alix C, Hughes L, Phipatanakul W.","Ann Allergy Asthma Immunol. 2015 Mar;114(3):254-255.e3. doi: 10.1016/j.anai.2014.11.020. No abstract available. ","Ann Allergy Asthma Immunol.  2015","PubMed","citation","PMID:25577569 | PMCID:PMC4352395","pubmed","25577569","create date:2015/01/13 | first author:White L",
"Single genome amplification and standard bulk PCR yield HIV-1 envelope products with similar genotypic and phenotypic characteristics.","/pubmed/25681527","Etemad B, Ghulam-Smith M, Gonzalez O, White LF, Sagar M.","J Virol Methods. 2015 Mar;214:46-53. doi: 10.1016/j.jviromet.2015.01.006.","J Virol Methods.  2015","PubMed","citation","PMID:25681527 | PMCID:PMC4394631","pubmed","25681527","create date:2015/02/15 | first author:Etemad B",
"Effect of below-the-knee compression stockings on severity of obstructive sleep apnea.","/pubmed/25620198","White LH, Lyons OD, Yadollahi A, Ryan CM, Bradley TD.","Sleep Med. 2015 Feb;16(2):258-64. doi: 10.1016/j.sleep.2014.12.005.","Sleep Med.  2015","PubMed","citation","PMID:25620198","pubmed","25620198","create date:2015/01/27 | first author:White LH",
"Night-to-night variability in obstructive sleep apnea severity: relationship to overnight rostral fluid shift.","/pubmed/25406274","White LH, Lyons OD, Yadollahi A, Ryan CM, Bradley TD.","J Clin Sleep Med. 2015 Jan 15;11(2):149-56. doi: 10.5664/jcsm.4462.","J Clin Sleep Med.  2015","PubMed","citation","PMID:25406274 | PMCID:PMC4298772","pubmed","25406274","create date:2014/11/20 | first author:White LH",
"Medication and Dietary Supplement Interactions among a Low-Income, Hospitalized Patient Population Who Take Cardiac Medications.","/pubmed/25949262","Gardiner P, Filippelli AC, Sadikova E, White LF, Jack BW.","Evid Based Complement Alternat Med. 2015;2015:429826. doi: 10.1155/2015/429826.","Evid Based Complement Alternat Med.  2015","PubMed","citation","PMID:25949262 | PMCID:PMC4407526","pubmed","25949262","create date:2015/05/08 | first author:Gardiner P",
"Evaluation of the Utility of the Edmonton Symptom Assessment System (revised) Scale on a Tertiary Palliative Care Unit.","/pubmed/26399090","Beddard-Huber E, Jayaraman J, White L, Yeomans W.","J Palliat Care. 2015;31(1):44-50.","J Palliat Care.  2015","PubMed","citation","PMID:26399090","pubmed","26399090","create date:2015/09/25 | first author:Beddard-Huber E",
"Spatio Temporal Influence of Isoflavonoids on Bacterial Diversity in the Soybean Rhizosphere.","/pubmed/25303334","White LJ, Jothibasu K, Reese RN, Brözel VS, Subramanian S.","Mol Plant Microbe Interact. 2015 Jan;28(1):22-9. doi: 10.1094/MPMI-08-14-0247-R.","Mol Plant Microbe Interact.  2015","PubMed","citation","PMID:25303334","pubmed","25303334","create date:2014/10/11 | first author:White LJ",
"Current practices of screening for incident hepatitis C virus (HCV) infection among HIV-infected, HCV-uninfected individuals in primary care.","/pubmed/25186591","Freiman JM, Huang W, White LF, Geng EH, Hurt CB, Taylor LE, Overton ET, Cachay ER, Kitahata MM, Moore RD, Rodriguez B, Mayer KH, Linas BP.","Clin Infect Dis. 2014 Dec 15;59(12):1686-93. doi: 10.1093/cid/ciu698.","Clin Infect Dis.  2014","PubMed","citation","PMID:25186591 | PMCID:PMC4311177","pubmed","25186591","create date:2014/09/05 | first author:Freiman JM",
"Characterization of HIV-1 envelopes in acutely and chronically infected injection drug users.","/pubmed/25430652","Etemad B, Gonzalez OA, White L, Laeyendecker O, Kirk GD, Mehta S, Sagar M.","Retrovirology. 2014 Nov 28;11:106. doi: 10.1186/s12977-014-0106-8.","Retrovirology.  2014","PubMed","citation","PMID:25430652 | PMCID:PMC4253609","pubmed","25430652","create date:2014/11/29 | first author:Etemad B",
"Relationship of circadian pattern of urine sodium excretion to hypertension and obstructive sleep apnoea.","/pubmed/25160500","White LH, Bradley TD, Logan AG.","J Hypertens. 2014 Nov;32(11):2253-60; discussion 2260. doi: 10.1097/HJH.0000000000000327.","J Hypertens.  2014","PubMed","citation","PMID:25160500","pubmed","25160500","create date:2014/08/28 | first author:White LH",
"A randomized, double crossover study to investigate the influence of saline infusion on sleep apnea severity in men.","/pubmed/25197812","Yadollahi A, Gabriel JM, White LH, Taranto Montemurro L, Kasai T, Bradley TD.","Sleep. 2014 Oct 1;37(10):1699-705. doi: 10.5665/sleep.4084.","Sleep.  2014","PubMed","citation","PMID:25197812 | PMCID:PMC4173926","pubmed","25197812","create date:2014/09/10 | first author:Yadollahi A",
"Utility, limitations, and future of non-human primates for dengue research and vaccine development.","/pubmed/25309540","Sariol CA, White LJ.","Front Immunol. 2014 Sep 24;5:452. doi: 10.3389/fimmu.2014.00452. Review.","Front Immunol.  2014","PubMed","citation","PMID:25309540 | PMCID:PMC4174039","pubmed","25309540","create date:2014/10/14 | first author:Sariol CA",
"Parenthood and severe mental illness: relationships with recovery.","/pubmed/24819698","Bonfils KA, Adams EL, Firmin RL, White LM, Salyers MP.","Psychiatr Rehabil J. 2014 Sep;37(3):186-93. doi: 10.1037/prj0000072.","Psychiatr Rehabil J.  2014","PubMed","citation","PMID:24819698 | PMCID:PMC4152421","pubmed","24819698","create date:2014/05/14 | first author:Bonfils KA",
"Assertive community treatment for parents with serious mental illnesses: a comparison of ""parent-sensitive"" assertive community treatment teams versus other teams.","/pubmed/24564344","White LM, McGrew JH, Salyers MP, Firmin RL.","Psychiatr Rehabil J. 2014 Sep;37(3):251-60. doi: 10.1037/prj0000050.","Psychiatr Rehabil J.  2014","PubMed","citation","PMID:24564344","pubmed","24564344","create date:2014/02/26 | first author:White LM",
"An alphavirus-based adjuvant enhances serum and mucosal antibodies, T cells, and protective immunity to influenza virus in neonatal mice.","/pubmed/24899195","Khalil SM, Tonkin DR, Snead AT, Parks GD, Johnston RE, White LJ.","J Virol. 2014 Aug;88(16):9182-96. doi: 10.1128/JVI.00327-14.","J Virol.  2014","PubMed","citation","PMID:24899195 | PMCID:PMC4136293","pubmed","24899195","create date:2014/06/06 | first author:Khalil SM",
"A tetravalent alphavirus-vector based dengue vaccine provides effective immunity in an early life mouse model.","/pubmed/24882043","Khalil SM, Tonkin DR, Mattocks MD, Snead AT, Johnston RE, White LJ.","Vaccine. 2014 Jul 7;32(32):4068-74. doi: 10.1016/j.vaccine.2014.05.053.","Vaccine.  2014","PubMed","citation","PMID:24882043 | PMCID:PMC4487803","pubmed","24882043","create date:2014/06/03 | first author:Khalil SM",
"Polypoid changes of the middle turbinate as an indicator of atopic disease.","/pubmed/24449408","White LJ, Rotella MR, DelGaudio JM.","Int Forum Allergy Rhinol. 2014 May;4(5):376-80. doi: 10.1002/alr.21290.","Int Forum Allergy Rhinol.  2014","PubMed","citation","PMID:24449408","pubmed","24449408","create date:2014/01/23 | first author:White LJ",
"Determining the dynamics of influenza transmission by age.","/pubmed/24656239","White LF, Archer B, Pagano M.","Emerg Themes Epidemiol. 2014 Mar 21;11(1):4. doi: 10.1186/1742-7622-11-4.","Emerg Themes Epidemiol.  2014","PubMed","citation","PMID:24656239 | PMCID:PMC3997935","pubmed","24656239","create date:2014/03/25 | first author:White LF",
"The policy implications of the cost structure of home health agencies.","/pubmed/24949224","Mukamel DB, Fortinsky RH, White A, Harrington C, White LM, Ngo-Metzger Q.","Medicare Medicaid Res Rev. 2014 Feb 12;4(1). pii: mmrr2014.004.01.a03. doi: 10.5600/mmrr2014-004-01-a03.","Medicare Medicaid Res Rev.  2014","PubMed","citation","PMID:24949224 | PMCID:PMC4062313","pubmed","24949224","create date:2014/06/21 | first author:Mukamel DB",
"Dengue virus envelope protein domain I/II hinge determines long-lived serotype-specific dengue immunity.","/pubmed/24385585","Messer WB, de Alwis R, Yount BL, Royal SR, Huynh JP, Smith SA, Crowe JE Jr, Doranz BJ, Kahle KM, Pfaff JM, White LJ, Sariol CA, de Silva AM, Baric RS.","Proc Natl Acad Sci U S A. 2014 Feb 4;111(5):1939-44. doi: 10.1073/pnas.1317350111. Erratum in: Proc Natl Acad Sci U S A. 2014 Apr 22;111(16):6115.  Retraction in: Proc Natl Acad Sci U S A. 2015 May 19;112(20):E2738. ","Proc Natl Acad Sci U S A.  2014","PubMed","citation","PMID:24385585 | PMCID:PMC3918811","pubmed","24385585","create date:2014/01/05 | first author:Messer WB",
"Effect of rostral fluid shift on pharyngeal resistance in men with and without obstructive sleep apnea.","/pubmed/24280382","White LH, Motwani S, Kasai T, Yumino D, Amirthalingam V, Bradley TD.","Respir Physiol Neurobiol. 2014 Feb 1;192:17-22. doi: 10.1016/j.resp.2013.11.002.","Respir Physiol Neurobiol.  2014","PubMed","citation","PMID:24280382","pubmed","24280382","create date:2013/11/28 | first author:White LH",
"Right ventricular dilatation on bedside echocardiography performed by emergency physicians aids in the diagnosis of pulmonary embolism.","/pubmed/24075286","Dresden S, Mitchell P, Rahimi L, Leo M, Rubin-Smith J, Bibi S, White L, Langlois B, Sullivan A, Carmody K.","Ann Emerg Med. 2014 Jan;63(1):16-24. doi: 10.1016/j.annemergmed.2013.08.016.","Ann Emerg Med.  2014","PubMed","citation","PMID:24075286","pubmed","24075286","create date:2013/10/01 | first author:Dresden S",
"Measuring staff empowerment regarding health care for clients with intellectual disabilities.","/pubmed/24719760","Wilkinson J, Greenwood NW, Wang CT, White LF, Culpepper L.","Int J Family Med. 2014;2014:678127. doi: 10.1155/2014/678127.","Int J Family Med.  2014","PubMed","citation","PMID:24719760 | PMCID:PMC3955629","pubmed","24719760","create date:2014/04/11 | first author:Wilkinson J",
"Facilitating the use of implicit memory and learning in the physical therapy management of individuals with Alzheimer disease: a case series.","/pubmed/23459238","White L, Ford MP, Brown CJ, Peel C, Triebel KL.","J Geriatr Phys Ther. 2014 Jan-Mar;37(1):35-44. doi: 10.1519/JPT.0b013e3182862d2c.","J Geriatr Phys Ther.  2014","PubMed","citation","PMID:23459238","pubmed","23459238","create date:2013/03/06 | first author:White L",
"External validation of the Cardiff model of information sharing to reduce community violence: natural experiment.","/pubmed/23184923","Boyle AA, Snelling K, White L, Ariel B, Ashelford L.","Emerg Med J. 2013 Dec;30(12):1020-3. doi: 10.1136/emermed-2012-201898.","Emerg Med J.  2013","PubMed","citation","PMID:23184923","pubmed","23184923","create date:2012/11/28 | first author:Boyle AA",
"Hairy polyp of the anterior nasal cavity.","/pubmed/24067950","White LJ, Shehata BM, Rajan R.","Otolaryngol Head Neck Surg. 2013 Dec;149(6):961-2. doi: 10.1177/0194599813506527. No abstract available. ","Otolaryngol Head Neck Surg.  2013","PubMed","citation","PMID:24067950","pubmed","24067950","create date:2013/09/27 | first author:White LJ",
"Implementation of illness management and recovery in the Veterans Administration: an on-line survey.","/pubmed/24320835","McGuire AB, White DA, White LM, Salyers MP.","Psychiatr Rehabil J. 2013 Dec;36(4):264-71. doi: 10.1037/prj0000032.","Psychiatr Rehabil J.  2013","PubMed","citation","PMID:24320835","pubmed","24320835","create date:2013/12/11 | first author:McGuire AB",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Role of humoral versus cellular responses induced by a protective dengue vaccine candidate.","/pubmed/24204271","Zellweger RM, Miller R, Eddy WE, White LJ, Johnston RE, Shresta S.","PLoS Pathog. 2013 Oct;9(10):e1003723. doi: 10.1371/journal.ppat.1003723.","PLoS Pathog.  2013","PubMed","citation","PMID:24204271 | PMCID:PMC3814346","pubmed","24204271","create date:2013/11/10 | first author:Zellweger RM",
