Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Common Statistical Pitfalls in Basic Science Research.","/pubmed/27688237","Sullivan LM, Weinberg J, Keaney JF Jr.","J Am Heart Assoc. 2016 Sep 29;5(10). pii: e004142. Review. No abstract available. ","J Am Heart Assoc.  2016","PubMed","citation","PMID:27688237","pubmed","27688237","create date:2016/10/01 | first author:Sullivan LM",
"Plasma Fibroblast Growth Factor 23: Clinical Correlates and Association With Cardiovascular Disease and Mortality in the Framingham Heart Study.","/pubmed/27385427","Haring R, Enserro D, Xanthakis V, Mitchell GF, Benjamin EJ, Hamburg NM, Sullivan L, Nauck M, Wallaschofski H, Vasan RS.","J Am Heart Assoc. 2016 Jul 6;5(7). pii: e003486. doi: 10.1161/JAHA.116.003486.","J Am Heart Assoc.  2016","PubMed","citation","PMID:27385427 | PMCID:PMC5015386","pubmed","27385427","create date:2016/07/08 | first author:Haring R",
"What is the viva experience of phase 2 Radiation Oncology examination candidates? Survey and advice for future candidates.","/pubmed/26833641","Kleiven HM, Tejani N, Sullivan L.","J Med Imaging Radiat Oncol. 2016 Jun;60(3):428-32. doi: 10.1111/1754-9485.12436.","J Med Imaging Radiat Oncol.  2016","PubMed","citation","PMID:26833641","pubmed","26833641","create date:2016/02/03 | first author:Kleiven HM",
"Relations of circulating GDF-15, soluble ST2, and troponin-I concentrations with vascular function in the community: The Framingham Heart Study.","/pubmed/26972631","Andersson C, Enserro D, Sullivan L, Wang TJ, Januzzi JL Jr, Benjamin EJ, Vita JA, Hamburg NM, Larson MG, Mitchell GF, Vasan RS.","Atherosclerosis. 2016 May;248:245-51. doi: 10.1016/j.atherosclerosis.2016.02.013.","Atherosclerosis.  2016","PubMed","citation","PMID:26972631 | PMCID:PMC5018232","pubmed","26972631","create date:2016/03/15 | first author:Andersson C",
"Atrial Fibrillation and Declining Physical Performance in Older Adults: The Health, Aging, and Body Composition Study.","/pubmed/27052031","Magnani JW, Wang N, Benjamin EJ, Garcia ME, Bauer DC, Butler J, Ellinor PT, Kritchevsky S, Marcus GM, Newman A, Phillips CL, Sasai H, Satterfield S, Sullivan LM, Harris TB; Health, Aging, and Body Composition Study..","Circ Arrhythm Electrophysiol. 2016 May;9(5):e003525. doi: 10.1161/CIRCEP.115.003525.","Circ Arrhythm Electrophysiol.  2016","PubMed","citation","PMID:27052031 | PMCID:PMC4826757","pubmed","27052031","create date:2016/04/08 | first author:Magnani JW",
"Generation of Hermansky Pudlak syndrome type 2 (HPS2) induced pluripotent stem cells (iPSCs).","/pubmed/27345985","Maguire JA, Lu L, Mills JA, Sullivan LM, Gadue P, French DL.","Stem Cell Res. 2016 Mar;16(2):287-9. doi: 10.1016/j.scr.2016.01.015.","Stem Cell Res.  2016","PubMed","citation","PMID:27345985","pubmed","27345985","create date:2016/06/28 | first author:Maguire JA",
"Generation of Hermansky-Pudlak Syndrome Type 1 (HPS1) induced pluripotent stem cells (iPSCs).","/pubmed/27345974","Maguire JA, Lu L, Mills JA, Sullivan LM, Gagne A, Gadue P, French DL.","Stem Cell Res. 2016 Mar;16(2):233-5. doi: 10.1016/j.scr.2016.01.014.","Stem Cell Res.  2016","PubMed","citation","PMID:27345974","pubmed","27345974","create date:2016/06/28 | first author:Maguire JA",
"Circulating Adipokines and Vascular Function: Cross-Sectional Associations in a Community-Based Cohort.","/pubmed/26628673","Zachariah JP, Hwang S, Hamburg NM, Benjamin EJ, Larson MG, Levy D, Vita JA, Sullivan LM, Mitchell GF, Vasan RS.","Hypertension. 2016 Feb;67(2):294-300. doi: 10.1161/HYPERTENSIONAHA.115.05949.","Hypertension.  2016","PubMed","citation","PMID:26628673 | PMCID:PMC4845672","pubmed","26628673","create date:2015/12/03 | first author:Zachariah JP",
"Atrial flutter: Clinical risk factors and adverse outcomes in the Framingham Heart Study.","/pubmed/26226213","Rahman F, Wang N, Yin X, Ellinor PT, Lubitz SA, LeLorier PA, McManus DD, Sullivan LM, Seshadri S, Vasan RS, Benjamin EJ, Magnani JW.","Heart Rhythm. 2016 Jan;13(1):233-40. doi: 10.1016/j.hrthm.2015.07.031.","Heart Rhythm.  2016","PubMed","citation","PMID:26226213 | PMCID:PMC4698205","pubmed","26226213","create date:2015/08/01 | first author:Rahman F",
"Residual Cardiovascular Risk in Individuals on Blood Pressure-Lowering Treatment.","/pubmed/26588944","Lieb W, Enserro DM, Sullivan LM, Vasan RS.","J Am Heart Assoc. 2015 Nov 20;4(11). pii: e002155. doi: 10.1161/JAHA.115.002155.","J Am Heart Assoc.  2015","PubMed","citation","PMID:26588944 | PMCID:PMC4845218","pubmed","26588944","create date:2015/11/22 | first author:Lieb W",
