Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Automatic classification of registered clinical trials towards the Global Burden of Diseases taxonomy of diseases and injuries.","/pubmed/27659604","Atal I, Zeitoun JD, Névéol A, Ravaud P, Porcher R, Trinquart L.","BMC Bioinformatics. 2016 Sep 22;17(1):392.","BMC Bioinformatics.  2016","PubMed","citation","PMID:27659604 | PMCID:PMC5034670","pubmed","27659604","create date:2016/09/24 | first author:Atal I",
"Live cumulative network meta-analysis: protocol for second-line treatments in advanced non-small-cell lung cancer with wild-type or unknown status for epidermal growth factor receptor.","/pubmed/27489157","Créquit P, Trinquart L, Ravaud P.","BMJ Open. 2016 Aug 3;6(8):e011841. doi: 10.1136/bmjopen-2016-011841.","BMJ Open.  2016","PubMed","citation","PMID:27489157 | PMCID:PMC4985872","pubmed","27489157","create date:2016/08/05 | first author:Créquit P",
"Finding Alternatives to the Dogma of Power Based Sample Size Calculation: Is a Fixed Sample Size Prospective Meta-Experiment a Potential Alternative?","/pubmed/27362939","Tavernier E, Trinquart L, Giraudeau B.","PLoS One. 2016 Jun 30;11(6):e0158604. doi: 10.1371/journal.pone.0158604.","PLoS One.  2016","PubMed","citation","PMID:27362939 | PMCID:PMC4928786","pubmed","27362939","create date:2016/07/01 | first author:Tavernier E",
"Impact of interventions to improve the quality of peer review of biomedical journals: a systematic review and meta-analysis.","/pubmed/27287500","Bruce R, Chauvin A, Trinquart L, Ravaud P, Boutron I.","BMC Med. 2016 Jun 10;14(1):85. doi: 10.1186/s12916-016-0631-5.","BMC Med.  2016","PubMed","citation","PMID:27287500 | PMCID:PMC4902984","pubmed","27287500","create date:2016/06/12 | first author:Bruce R",
"Mental health surveillance after the terrorist attacks in Paris.","/pubmed/27302026","Gruebner O, Sykora M, Lowe SR, Shankardass K, Trinquart L, Jackson T, Subramanian SV, Galea S.","Lancet. 2016 May 28;387(10034):2195-6. doi: 10.1016/S0140-6736(16)30602-X. No abstract available. ","Lancet.  2016","PubMed","citation","PMID:27302026","pubmed","27302026","create date:2016/06/16 | first author:Gruebner O",
"Comparison of Treatment Effects Measured by the Hazard Ratio and by the Ratio of Restricted Mean Survival Times in Oncology Randomized Controlled Trials.","/pubmed/26884584","Trinquart L, Jacot J, Conner SC, Porcher R.","J Clin Oncol. 2016 May 20;34(15):1813-9. doi: 10.1200/JCO.2015.64.2488.","J Clin Oncol.  2016","PubMed","citation","PMID:26884584","pubmed","26884584","create date:2016/02/18 | first author:Trinquart L",
"Uncertainty in Treatment Rankings: Reanalysis of Network Meta-analyses of Randomized Trials.","/pubmed/27089537","Trinquart L, Attiche N, Bafeta A, Porcher R, Ravaud P.","Ann Intern Med. 2016 May 17;164(10):666-73. doi: 10.7326/M15-2521.","Ann Intern Med.  2016","PubMed","citation","PMID:27089537","pubmed","27089537","create date:2016/04/19 | first author:Trinquart L",
"Empirical evaluation of which trial characteristics are associated with treatment effect estimates.","/pubmed/27140444","Dechartres A, Trinquart L, Faber T, Ravaud P.","J Clin Epidemiol. 2016 Apr 29. pii: S0895-4356(16)30091-9. doi: 10.1016/j.jclinepi.2016.04.005.","J Clin Epidemiol.  2016","PubMed","citation","PMID:27140444","pubmed","27140444","create date:2016/05/04 | first author:Dechartres A",
"Comparison of central adjudication of outcomes and onsite outcome assessment on treatment effect estimates.","/pubmed/26961577","Ndounga Diakou LA, Trinquart L, Hróbjartsson A, Barnes C, Yavchitz A, Ravaud P, Boutron I.","Cochrane Database Syst Rev. 2016 Mar 10;3:MR000043. doi: 10.1002/14651858.MR000043.pub2. Review.","Cochrane Database Syst Rev.  2016","PubMed","citation","PMID:26961577","pubmed","26961577","create date:2016/03/11 | first author:Ndounga Diakou LA",
"Why do we think we know what we know? A metaknowledge analysis of the salt controversy.","/pubmed/26888870","Trinquart L, Johns DM, Galea S.","Int J Epidemiol. 2016 Feb;45(1):251-60. doi: 10.1093/ije/dyv184.","Int J Epidemiol.  2016","PubMed","citation","PMID:26888870","pubmed","26888870","create date:2016/02/19 | first author:Trinquart L",
"Sample size calculation for meta-epidemiological studies.","/pubmed/26286683","Giraudeau B, Higgins JP, Tavernier E, Trinquart L.","Stat Med. 2016 Jan 30;35(2):239-50. doi: 10.1002/sim.6627.","Stat Med.  2016","PubMed","citation","PMID:26286683","pubmed","26286683","create date:2015/08/20 | first author:Giraudeau B",
"Wasted research when systematic reviews fail to provide a complete and up-to-date evidence synthesis: the example of lung cancer.","/pubmed/26792360","Créquit P, Trinquart L, Yavchitz A, Ravaud P.","BMC Med. 2016 Jan 20;14:8. doi: 10.1186/s12916-016-0555-0.","BMC Med.  2016","PubMed","citation","PMID:26792360 | PMCID:PMC4719540","pubmed","26792360","create date:2016/01/23 | first author:Créquit P",
"Meta-Analysis of a Complex Network of Non-Pharmacological Interventions: The Example of Femoral Neck Fracture.","/pubmed/26735922","Mosseri J, Trinquart L, Nizard R, Ravaud P.","PLoS One. 2016 Jan 6;11(1):e0146336. doi: 10.1371/journal.pone.0146336.","PLoS One.  2016","PubMed","citation","PMID:26735922 | PMCID:PMC4703382","pubmed","26735922","create date:2016/01/07 | first author:Mosseri J",
"Complex systems approach to scientific publication and peer-review system: development of an agent-based model calibrated with empirical journal data.","/pubmed/26855456","Kovanis M, Porcher R, Ravaud P, Trinquart L.","Scientometrics. 2016;106:695-715.","Scientometrics.  2016","PubMed","citation","PMID:26855456 | PMCID:PMC4729793","pubmed","26855456","create date:2016/02/09 | first author:Kovanis M",
"Differential Globalization of Industry- and Non-Industry-Sponsored Clinical Trials.","/pubmed/26658791","Atal I, Trinquart L, Porcher R, Ravaud P.","PLoS One. 2015 Dec 14;10(12):e0145122. doi: 10.1371/journal.pone.0145122.","PLoS One.  2015","PubMed","citation","PMID:26658791 | PMCID:PMC4681996","pubmed","26658791","create date:2015/12/15 | first author:Atal I",
"High-intensity versus low-intensity physical activity or exercise in people with hip or knee osteoarthritis.","/pubmed/26513223","Regnaux JP, Lefevre-Colau MM, Trinquart L, Nguyen C, Boutron I, Brosseau L, Ravaud P.","Cochrane Database Syst Rev. 2015 Oct 29;(10):CD010203. doi: 10.1002/14651858.CD010203.pub2. Review.","Cochrane Database Syst Rev.  2015","PubMed","citation","PMID:26513223","pubmed","26513223","create date:2015/10/30 | first author:Regnaux JP",
"Reply to Letter: ""Equivalence Approach Is More Appropriate for Comparison of Treatment Effect Estimates"".","/pubmed/24670852","Lonjon G, Boutron I, Trinquart L, Ahmad N, Aim F, Nizard R, Ravaud P.","Ann Surg. 2015 Aug;262(2):e67-9. doi: 10.1097/SLA.0000000000000597. No abstract available. ","Ann Surg.  2015","PubMed","citation","PMID:24670852","pubmed","24670852","create date:2014/03/29 | first author:Lonjon G",
"Mapping epidemiology's past to inform its future: metaknowledge analysis of epidemiologic topics in leading journals, 1974-2013.","/pubmed/25977517","Trinquart L, Galea S.","Am J Epidemiol. 2015 Jul 15;182(2):93-104. doi: 10.1093/aje/kwv034.","Am J Epidemiol.  2015","PubMed","citation","PMID:25977517","pubmed","25977517","create date:2015/05/16 | first author:Trinquart L",
