Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Biomarker informed add-arm design for unimodal response.","/pubmed/26010506","Wang J, Chang M, Menon S.","J Biopharm Stat. 2016;26(4):694-711. doi: 10.1080/10543406.2015.1052474.","J Biopharm Stat.  2016","PubMed","citation","PMID:26010506","pubmed","26010506","create date:2015/05/27 | first author:Wang J",
"The Add-Arm Design for Unimodal Response Curve with Unknown Mode.","/pubmed/25331003","Chang M, Wang J.","J Biopharm Stat. 2015;25(5):1039-64. doi: 10.1080/10543406.2014.971164.","J Biopharm Stat.  2015","PubMed","citation","PMID:25331003","pubmed","25331003","create date:2014/10/22 | first author:Chang M",
"An Adaptive Staggered Dose Design for a Normal Endpoint.","/pubmed/24904986","Wu J, Menon S, Chang M.","J Biopharm Stat. 2015;25(4):731-56. doi: 10.1080/10543406.2014.920862.","J Biopharm Stat.  2015","PubMed","citation","PMID:24904986","pubmed","24904986","create date:2014/06/07 | first author:Wu J",
"Preoperative androgen deprivation therapy for localized prostate cancer: delayed biochemical recurrence in high-risk disease.","/pubmed/24342128","Pal SK, Ruel N, Vogelzang N, Chang M, Wilson TG, Jones JO, Yuh B.","Clin Genitourin Cancer. 2014 Jun;12(3):149-54. doi: 10.1016/j.clgc.2013.11.009.","Clin Genitourin Cancer.  2014","PubMed","citation","PMID:24342128","pubmed","24342128","create date:2013/12/18 | first author:Pal SK",
"CKD-EPI and cockcroft-gault equations identify similar candidates for neoadjuvant chemotherapy in muscle-invasive bladder cancer.","/pubmed/24722472","Pal SK, Ruel N, Villegas S, Chang M, DeWalt K, Wilson TG, Vogelzang NJ, Yuh BE.","PLoS One. 2014 Apr 10;9(4):e94471. doi: 10.1371/journal.pone.0094471.","PLoS One.  2014","PubMed","citation","PMID:24722472 | PMCID:PMC3983198","pubmed","24722472","create date:2014/04/12 | first author:Pal SK",
"Programmed death-1 inhibition in renal cell carcinoma: clinical insights and future directions.","/pubmed/24892254","Pal SK, Hu A, Chang M, Figlin RA.","Clin Adv Hematol Oncol. 2014 Feb;12(2):90-9. Review.","Clin Adv Hematol Oncol.  2014","PubMed","citation","PMID:24892254","pubmed","24892254","create date:2014/06/04 | first author:Pal SK",
"Optimization of adaptive designs: efficiency evaluation.","/pubmed/22651106","Menon S, Chang M.","J Biopharm Stat. 2012;22(4):641-61. doi: 10.1080/10543406.2012.676532.","J Biopharm Stat.  2012","PubMed","citation","PMID:22651106","pubmed","22651106","create date:2012/06/02 | first author:Menon S",
"Note on special technical issue on adaptive designs for clinical trials.","/pubmed/22651104","Liu Q, Chang M.","J Biopharm Stat. 2012;22(4):615-6. doi: 10.1080/10543406.2012.684507. No abstract available. ","J Biopharm Stat.  2012","PubMed","citation","PMID:22651104","pubmed","22651104","create date:2012/06/02 | first author:Liu Q",
"Introduction to discussion papers on draft FDA guidance on adaptive designs.","/pubmed/21058106","Chang M.","J Biopharm Stat. 2010 Nov;20(6):1113-4. doi: 10.1080/10543406.2010.514448. No abstract available. ","J Biopharm Stat.  2010","PubMed","citation","PMID:21058106","pubmed","21058106","create date:2010/11/09 | first author:Chang M",
"Laparoscopic Fowler-Stephens orchiopexy: the Westchester Medical Center experience.","/pubmed/18484895","Chang M, Franco I.","J Endourol. 2008 Jun;22(6):1315-9. doi: 10.1089/end.2008.0158.","J Endourol.  2008","PubMed","citation","PMID:18484895","pubmed","18484895","create date:2008/05/20 | first author:Chang M",
"Adaptive design methods in clinical trials - a review.","/pubmed/18454853","Chow SC, Chang M.","Orphanet J Rare Dis. 2008 May 2;3:11. doi: 10.1186/1750-1172-3-11. Review.","Orphanet J Rare Dis.  2008","PubMed","citation","PMID:18454853 | PMCID:PMC2422839","pubmed","18454853","create date:2008/05/06 | first author:Chow SC",
"Effectiveness of high-frequency holmium:YAG laser stone fragmentation: the ""popcorn effect"".","/pubmed/18307379","Chawla SN, Chang MF, Chang A, Lenoir J, Bagley DH.","J Endourol. 2008 Apr;22(4):645-50. doi: 10.1089/end.2007.9843.","J Endourol.  2008","PubMed","citation","PMID:18307379","pubmed","18307379","create date:2008/03/01 | first author:Chawla SN",
"A threshold regression mixture model for assessing treatment efficacy in a multiple myeloma clinical trial.","/pubmed/18991113","Lee ML, Chang M, Whitmore GA.","J Biopharm Stat. 2008;18(6):1136-49. doi: 10.1080/10543400802398524.","J Biopharm Stat.  2008","PubMed","citation","PMID:18991113","pubmed","18991113","create date:2008/11/11 | first author:Lee ML",
"Patient-reported outcomes helped predict survival in multiple myeloma using partial least squares analysis.","/pubmed/17573982","Viala M, Bhakar AL, de la Loge C, van de Velde H, Esseltine D, Chang M, Dhawan R, Dubois D.","J Clin Epidemiol. 2007 Jul;60(7):670-679.","J Clin Epidemiol.  2007","PubMed","citation","PMID:17573982","pubmed","17573982","create date:2007/06/19 | first author:Viala M",
"Adaptive design method based on sum of p-values.","/pubmed/17133651","Chang M.","Stat Med. 2007 Jun 30;26(14):2772-84.","Stat Med.  2007","PubMed","citation","PMID:17133651","pubmed","17133651","create date:2006/11/30 | first author:Chang M",
"Plasma-deposited tetraglyme surfaces greatly reduce total blood protein adsorption, contact activation, platelet adhesion, platelet procoagulant activity, and in vitro thrombus deposition.","/pubmed/17236214","Cao L, Chang M, Lee CY, Castner DG, Sukavaneshvar S, Ratner BD, Horbett TA.","J Biomed Mater Res A. 2007 Jun 15;81(4):827-37.","J Biomed Mater Res A.  2007","PubMed","citation","PMID:17236214","pubmed","17236214","create date:2007/01/20 | first author:Cao L",
"Humidity's influence on visible region refractive index structure parameter C(n)(2).","/pubmed/17429456","Chang MP, Font CO, Gilbreath GC, Oh E.","Appl Opt. 2007 May 1;46(13):2453-9.","Appl Opt.  2007","PubMed","citation","PMID:17429456","pubmed","17429456","create date:2007/04/13 | first author:Chang MP",
"Analysis strategies for adaptive designs with multiple endpoints.","/pubmed/18027225","Chang M, Chow SC.","J Biopharm Stat. 2007;17(6):1189-200. Erratum in: J Biopharm Stat. 2008;18(2):402. ","J Biopharm Stat.  2007","PubMed","citation","PMID:18027225","pubmed","18027225","create date:2007/11/21 | first author:Chang M",
"Innovative approaches in drug development.","/pubmed/17885865","Chang M, Kenley S, Bull J, Chiu YY, Wang W, Wakeford C, McCarthy K.","J Biopharm Stat. 2007;17(5):775-89. Review.","J Biopharm Stat.  2007","PubMed","citation","PMID:17885865","pubmed","17885865","create date:2007/09/22 | first author:Chang M",
"Multiple-arm superiority and non-inferiority designs with various endpoints.","/pubmed/17323311","Chang M.","Pharm Stat. 2007 Jan-Mar;6(1):43-52.","Pharm Stat.  2007","PubMed","citation","PMID:17323311","pubmed","17323311","create date:2007/02/27 | first author:Chang M",
"Adaptive design in clinical research: issues, opportunities, and recommendations.","/pubmed/16724486","Chang M, Chow SC, Pong A.","J Biopharm Stat. 2006 May;16(3):299-309; discussion 311-2.","J Biopharm Stat.  2006","PubMed","citation","PMID:16724486","pubmed","16724486","create date:2006/05/27 | first author:Chang M",
"Outcomes of hand-assisted laparoscopic nephrectomy in technically challenging cases.","/pubmed/16413330","Kalra P, Glassman DT, Gomella LG, Strup SE, McGinnis DE, Simon DR, Chang MF, Byrne DS, Kuo RL.","Urology. 2006 Jan;67(1):45-9.","Urology.  2006","PubMed","citation","PMID:16413330","pubmed","16413330","create date:2006/01/18 | first author:Kalra P",
"Statistical inference for cancer trials with treatment switching.","/pubmed/15900586","Shao J, Chang M, Chow SC.","Stat Med. 2005 Jun 30;24(12):1783-90.","Stat Med.  2005","PubMed","citation","PMID:15900586","pubmed","15900586","create date:2005/05/19 | first author:Shao J",
"A hybrid Bayesian adaptive design for dose response trials.","/pubmed/16022172","Chang M, Chow SC.","J Biopharm Stat. 2005;15(4):677-91.","J Biopharm Stat.  2005","PubMed","citation","PMID:16022172","pubmed","16022172","create date:2005/07/19 | first author:Chang M",
"Statistical consideration of adaptive methods in clinical development.","/pubmed/16022164","Chow SC, Chang M, Pong A.","J Biopharm Stat. 2005;15(4):575-91.","J Biopharm Stat.  2005","PubMed","citation","PMID:16022164","pubmed","16022164","create date:2005/07/19 | first author:Chow SC",
