Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Risk of renal cell carcinoma following exposure to metalworking fluids among autoworkers.","/pubmed/27484955","Shrestha D, Liu S, Hammond SK, LaValley MP, Weiner DE, Eisen EA, Applebaum KM.","Occup Environ Med. 2016 Oct;73(10):656-62. doi: 10.1136/oemed-2016-103769.","Occup Environ Med.  2016","PubMed","citation","PMID:27484955 | PMCID:PMC5045439","pubmed","27484955","create date:2016/08/04 | first author:Shrestha D",
"Multiple Nonspecific Sites of Joint Pain Outside the Knees Develop in Persons with Knee Pain.","/pubmed/27589036","Felson DT, Niu J, Quinn EK, Neogi T, Lewis C, Lewis CE, Frey Law L, McCulloch C, Nevitt M, LaValley M.","Arthritis Rheumatol. 2016 Sep 2. doi: 10.1002/art.39848.","Arthritis Rheumatol.  2016","PubMed","citation","PMID:27589036","pubmed","27589036","create date:2016/09/03 | first author:Felson DT",
"Methotrexate dosage as a source of bias in biological trials in rheumatoid arthritis: a systematic review.","/pubmed/27091836","Durán J, Bockorny M, Dalal D, LaValley M, Felson DT.","Ann Rheum Dis. 2016 Sep;75(9):1595-8. doi: 10.1136/annrheumdis-2016-209383.","Ann Rheum Dis.  2016","PubMed","citation","PMID:27091836 | PMCID:PMC4982794","pubmed","27091836","create date:2016/04/20 | first author:Durán J",
"Critical Appraisal of the Quality of Literature Evaluating Psychometric Properties of Arthritis Work Outcome Assessments: A Systematic Review.","/pubmed/26679938","Alheresh R, Vaughan M, LaValley MP, Coster W, Keysor JJ.","Arthritis Care Res (Hoboken). 2016 Sep;68(9):1354-70. doi: 10.1002/acr.22814.","Arthritis Care Res (Hoboken).  2016","PubMed","citation","PMID:26679938","pubmed","26679938","create date:2015/12/19 | first author:Alheresh R",
"Which Features of the Environment Impact Community Participation of Older Adults? A Systematic Review and Meta-Analysis.","/pubmed/26578546","Vaughan M, LaValley MP, AlHeresh R, Keysor JJ.","J Aging Health. 2016 Sep;28(6):957-78. doi: 10.1177/0898264315614008.","J Aging Health.  2016","PubMed","citation","PMID:26578546","pubmed","26578546","create date:2015/11/19 | first author:Vaughan M",
"The Obesity Paradox in Recurrent Attacks of Gout in Observational Studies: Clarification and Remedy.","/pubmed/27331767","Nguyen UD, Zhang Y, Louie-Gao Q, Niu J, Felson DT, LaValley MP, Choi HK.","Arthritis Care Res (Hoboken). 2016 Jun 22. doi: 10.1002/acr.22954.","Arthritis Care Res (Hoboken).  2016","PubMed","citation","PMID:27331767","pubmed","27331767","create date:2016/06/23 | first author:Nguyen UD",
"The Work-It Study for people with arthritis: Study protocol and baseline sample characteristics.","/pubmed/27315415","Keysor JJ, AlHeresh R, Vaughan M, LaValley MP, Allaire S.","Work. 2016 Jun 14;54(2):473-80. doi: 10.3233/WOR-162331.","Work.  2016","PubMed","citation","PMID:27315415","pubmed","27315415","create date:2016/06/18 | first author:Keysor JJ",
"History of uterine leiomyoma and risk of endometrial cancer in black women.","/pubmed/26923705","Wise LA, Sponholtz TR, Rosenberg L, Adams-Campbell LL, Kuohung W, LaValley MP, Palmer JR.","Cancer Causes Control. 2016 Apr;27(4):545-52. doi: 10.1007/s10552-016-0728-3.","Cancer Causes Control.  2016","PubMed","citation","PMID:26923705 | PMCID:PMC4798859","pubmed","26923705","create date:2016/03/01 | first author:Wise LA",
"Longitudinal Course of Physical Function in People With Symptomatic Knee Osteoarthritis: Data From the Multicenter Osteoarthritis Study and the Osteoarthritis Initiative.","/pubmed/26236919","Øiestad BE, White DK, Booton R, Niu J, Zhang Y, Torner J, Lewis CE, Nevitt M, LaValley M, Felson DT.","Arthritis Care Res (Hoboken). 2016 Mar;68(3):325-31. doi: 10.1002/acr.22674.","Arthritis Care Res (Hoboken).  2016","PubMed","citation","PMID:26236919 | PMCID:PMC4879777","pubmed","26236919","create date:2015/08/04 | first author:Øiestad BE",
"Systematic Differences between Cochrane and Non-Cochrane Meta-Analyses on the Same Topic: A Matched Pair Analysis.","/pubmed/26671213","Useem J, Brennan A, LaValley M, Vickery M, Ameli O, Reinen N, Gill CJ.","PLoS One. 2015 Dec 15;10(12):e0144980. doi: 10.1371/journal.pone.0144980.","PLoS One.  2015","PubMed","citation","PMID:26671213 | PMCID:PMC4686011","pubmed","26671213","create date:2015/12/17 | first author:Useem J",
"Comparative analysis of the growth and biological activity of a respiratory and atheroma isolate of Chlamydia pneumoniae reveals strain-dependent differences in inflammatory activity and innate immune evasion.","/pubmed/26494400","He X, Liang Y, LaValley MP, Lai J, Ingalls RR.","BMC Microbiol. 2015 Oct 23;15:228. doi: 10.1186/s12866-015-0569-3.","BMC Microbiol.  2015","PubMed","citation","PMID:26494400 | PMCID:PMC4619265","pubmed","26494400","create date:2015/10/27 | first author:He X",
"Prevention of Healthcare-Associated Pneumonia with Oral Care in Individuals Without Mechanical Ventilation: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.","/pubmed/25857604","Kaneoka A, Pisegna JM, Miloro KV, Lo M, Saito H, Riquelme LF, LaValley MP, Langmore SE.","Infect Control Hosp Epidemiol. 2015 Aug;36(8):899-906. doi: 10.1017/ice.2015.77. Review.","Infect Control Hosp Epidemiol.  2015","PubMed","citation","PMID:25857604","pubmed","25857604","create date:2015/04/11 | first author:Kaneoka A",
"Sugar-sweetened beverage consumption and central and total adiposity in older children: a prospective study accounting for dietary reporting errors.","/pubmed/25166959","Bigornia SJ, LaValley MP, Noel SE, Moore LL, Ness AR, Newby PK.","Public Health Nutr. 2015 May;18(7):1155-63. doi: 10.1017/S1368980014001700.","Public Health Nutr.  2015","PubMed","citation","PMID:25166959","pubmed","25166959","create date:2014/08/29 | first author:Bigornia SJ",
