Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A candidate transacting modulator of fetal hemoglobin gene expression in the Arab-Indian haplotype of sickle cell anemia.","/pubmed/27501013","Vathipadiekal V, Farrell JJ, Wang S, Edward HL, Shappell H, Al-Rubaish AM, Al-Muhanna F, Naserullah Z, Alsuliman A, Qutub HO, Simkin I, Farrer LA, Jiang Z, Luo HY, Huang S, Mostoslavsky G, Murphy GJ, Patra PK, Chui DH, Alsultan A, Al-Ali AK, Sebastiani P, et al.","Am J Hematol. 2016 Nov;91(11):1118-1122. doi: 10.1002/ajh.24527.","Am J Hematol.  2016","PubMed","citation","PMID:27501013","pubmed","27501013","create date:2016/10/21 | first author:Vathipadiekal V",
"Detection of Significant Groups in Hierarchical Clustering by Resampling.","/pubmed/27551289","Sebastiani P, Perls TT.","Front Genet. 2016 Aug 8;7:144. doi: 10.3389/fgene.2016.00144.","Front Genet.  2016","PubMed","citation","PMID:27551289 | PMCID:PMC4976109","pubmed","27551289","create date:2016/08/24 | first author:Sebastiani P",
"Compression of Morbidity Is Observed Across Cohorts with Exceptional Longevity.","/pubmed/27377170","Ismail K, Nussbaum L, Sebastiani P, Andersen S, Perls T, Barzilai N, Milman S.","J Am Geriatr Soc. 2016 Aug;64(8):1583-91. doi: 10.1111/jgs.14222.","J Am Geriatr Soc.  2016","PubMed","citation","PMID:27377170 | PMCID:PMC4988893","pubmed","27377170","create date:2016/07/06 | first author:Ismail K",
"Variants of ZBTB7A (LRF) and its β-globin gene cluster binding motifs in sickle cell anemia.","/pubmed/27282567","Shaikho EM, Habara AH, Alsultan A, Al-Rubaish AM, Al-Muhanna F, Naserullah Z, Alsuliman A, Qutub HO, Patra PK, Sebastiani P, Baltrusaitis K, Farrell JJ, Jiang Z, Luo HY, Chui DH, Al-Ali AK, Steinberg MH.","Blood Cells Mol Dis. 2016 Jul;59:49-51. doi: 10.1016/j.bcmd.2016.04.001. No abstract available. ","Blood Cells Mol Dis.  2016","PubMed","citation","PMID:27282567","pubmed","27282567","create date:2016/06/11 | first author:Shaikho EM",
"Homozygosity for a haplotype in the HBG2-OR51B4 region is exclusive to Arab-Indian haplotype sickle cell anemia.","/pubmed/27185208","Vathipadiekal V, Alsultan A, Baltrusaitis K, Farrell JJ, Al-Rubaish AM, Al-Muhanna F, Naserullah Z, Suliman A, Patra PK, Milton JN, Farrer LA, Chui DH, Al-Ali AK, Sebastiani P, Steinberg MH.","Am J Hematol. 2016 Jun;91(6):E308-11. doi: 10.1002/ajh.24368. No abstract available. ","Am J Hematol.  2016","PubMed","citation","PMID:27185208 | PMCID:PMC4874527","pubmed","27185208","create date:2016/05/18 | first author:Vathipadiekal V",
"Learning Bayesian Networks from Correlated Data.","/pubmed/27146517","Bae H, Monti S, Montano M, Steinberg MH, Perls TT, Sebastiani P.","Sci Rep. 2016 May 5;6:25156. doi: 10.1038/srep25156.","Sci Rep.  2016","PubMed","citation","PMID:27146517 | PMCID:PMC4857179","pubmed","27146517","create date:2016/05/06 | first author:Bae H",
"Original Research: A case-control genome-wide association study identifies genetic modifiers of fetal hemoglobin in sickle cell disease.","/pubmed/27022141","Liu L, Pertsemlidis A, Ding LH, Story MD, Steinberg MH, Sebastiani P, Hoppe C, Ballas SK, Pace BS.","Exp Biol Med (Maywood). 2016 Apr;241(7):706-18. doi: 10.1177/1535370216642047.","Exp Biol Med (Maywood).  2016","PubMed","citation","PMID:27022141","pubmed","27022141","create date:2016/03/30 | first author:Liu L",
"Increasing Sibling Relative Risk of Survival to Older and Older Ages and the Importance of Precise Definitions of ""Aging,"" ""Life Span,"" and ""Longevity"".","/pubmed/25814633","Sebastiani P, Nussbaum L, Andersen SL, Black MJ, Perls TT.","J Gerontol A Biol Sci Med Sci. 2016 Mar;71(3):340-6. doi: 10.1093/gerona/glv020.","J Gerontol A Biol Sci Med Sci.  2016","PubMed","citation","PMID:25814633 | PMCID:PMC4757962","pubmed","25814633","create date:2015/03/31 | first author:Sebastiani P",
"Novel loci and pathways significantly associated with longevity.","/pubmed/26912274","Zeng Y, Nie C, Min J, Liu X, Li M, Chen H, Xu H, Wang M, Ni T, Li Y, Yan H, Zhang JP, Song C, Chi LQ, Wang HM, Dong J, Zheng GY, Lin L, Qian F, Qi Y, Liu X, Cao H, et al.","Sci Rep. 2016 Feb 25;6:21243. doi: 10.1038/srep21243.","Sci Rep.  2016","PubMed","citation","PMID:26912274 | PMCID:PMC4766491","pubmed","26912274","create date:2016/02/26 | first author:Zeng Y",
"Familial Risk for Exceptional Longevity.","/pubmed/27041978","Sebastiani P, Andersen SL, McIntosh AI, Nussbaum L, Stevenson MD, Pierce L, Xia S, Salance K, Perls TT.","N Am Actuar J. 2016 Jan 1;20(1):57-64.","N Am Actuar J.  2016","PubMed","citation","PMID:27041978 | PMCID:PMC4812435","pubmed","27041978","create date:2016/04/05 | first author:Sebastiani P",
"Genetic polymorphism of APOB is associated with diabetes mellitus in sickle cell disease.","/pubmed/26025476","Zhang X, Zhang W, Saraf SL, Nouraie M, Han J, Gowhari M, Hassan J, Miasnikova G, Sergueeva A, Nekhai S, Kittles R, Machado RF, Garcia JG, Gladwin MT, Steinberg MH, Sebastiani P, McClain DA, Gordeuk VR.","Hum Genet. 2015 Aug;134(8):895-904. doi: 10.1007/s00439-015-1572-3.","Hum Genet.  2015","PubMed","citation","PMID:26025476 | PMCID:PMC4607040","pubmed","26025476","create date:2015/05/31 | first author:Zhang X",
