Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Targeted Sequencing of Genome Wide Significant Loci Associated with Bone Mineral Density (BMD) Reveals Significant Novel and Rare Variants: The Cohorts for Heart and Aging Research in Genomic Epidemiology (CHARGE) Targeted Sequencing Study.","/pubmed/27616567","Hsu YH, Li G, Liu CT, Brody JA, Karasik D, Chou WC, Demissie S, Nandakumar K, Zhou Y, Cheng CH, Gill R, Gibbs RA, Muzny D, Santibanez J, Estrada K, Rivadeneira F, Harris T, Gudnason V, Uitterlinden A, Psaty BM, Robbins JA, Adrienne Cupples L, et al.","Hum Mol Genet. 2016 Sep 11. pii: ddw289.","Hum Mol Genet.  2016","PubMed","citation","PMID:27616567","pubmed","27616567","create date:2016/09/13 | first author:Hsu YH",
"Heritability of Thoracic Spine Curvature and Genetic Correlations With Other Spine Traits: The Framingham Study.","/pubmed/27455046","Yau MS, Demissie S, Zhou Y, Anderson DE, Lorbergs AL, Kiel DP, Allaire BT, Yang L, Cupples LA, Travison TG, Bouxsein ML, Karasik D, Samelson EJ.","J Bone Miner Res. 2016 Jul 25. doi: 10.1002/jbmr.2925.","J Bone Miner Res.  2016","PubMed","citation","PMID:27455046","pubmed","27455046","create date:2016/07/28 | first author:Yau MS",
"Heritability and Genetic Correlations for Bone Microarchitecture: The Framingham Study Families.","/pubmed/27419666","Karasik D, Demissie S, Zhou Y, Lu D, Broe KE, Bouxsein ML, Cupples LA, Kiel DP.","J Bone Miner Res. 2016 Jul 15. doi: 10.1002/jbmr.2915.","J Bone Miner Res.  2016","PubMed","citation","PMID:27419666","pubmed","27419666","create date:2016/07/16 | first author:Karasik D",
"Meta-analysis of 49 549 individuals imputed with the 1000 Genomes Project reveals an exonic damaging variant in ANGPTL4 determining fasting TG levels.","/pubmed/27036123","van Leeuwen EM, Sabo A, Bis JC, Huffman JE, Manichaikul A, Smith AV, Feitosa MF, Demissie S, Joshi PK, Duan Q, Marten J, van Klinken JB, Surakka I, Nolte IM, Zhang W, Mbarek H, Li-Gao R, Trompet S, Verweij N, Evangelou E, Lyytikäinen LP, Tayo BO, et al.","J Med Genet. 2016 Jul;53(7):441-9. doi: 10.1136/jmedgenet-2015-103439.","J Med Genet.  2016","PubMed","citation","PMID:27036123 | PMCID:PMC4941146","pubmed","27036123","create date:2016/04/03 | first author:van Leeuwen EM",
"Discovery of Genetic Variation on Chromosome 5q22 Associated with Mortality in Heart Failure.","/pubmed/27149122","Smith JG, Felix JF, Morrison AC, Kalogeropoulos A, Trompet S, Wilk JB, Gidlöf O, Wang X, Morley M, Mendelson M, Joehanes R, Ligthart S, Shan X, Bis JC, Wang YA, Sjögren M, Ngwa J, Brandimarto J, Stott DJ, Aguilar D, Rice KM, Sesso HD, et al.","PLoS Genet. 2016 May 5;12(5):e1006034. doi: 10.1371/journal.pgen.1006034.","PLoS Genet.  2016","PubMed","citation","PMID:27149122 | PMCID:PMC4858216","pubmed","27149122","create date:2016/05/07 | first author:Smith JG",
"Genome-Wide Association Study for Incident Myocardial Infarction and Coronary Heart Disease in Prospective Cohort Studies: The CHARGE Consortium.","/pubmed/26950853","Dehghan A, Bis JC, White CC, Smith AV, Morrison AC, Cupples LA, Trompet S, Chasman DI, Lumley T, Völker U, Buckley BM, Ding J, Jensen MK, Folsom AR, Kritchevsky SB, Girman CJ, Ford I, Dörr M, Salomaa V, Uitterlinden AG, Eiriksdottir G, Vasan RS, et al.","PLoS One. 2016 Mar 7;11(3):e0144997. doi: 10.1371/journal.pone.0144997.","PLoS One.  2016","PubMed","citation","PMID:26950853 | PMCID:PMC4780701","pubmed","26950853","create date:2016/03/08 | first author:Dehghan A",
"Drug-Gene Interactions of Antihypertensive Medications and Risk of Incident Cardiovascular Disease: A Pharmacogenomics Study from the CHARGE Consortium.","/pubmed/26516778","Bis JC, Sitlani C, Irvin R, Avery CL, Smith AV, Sun F, Evans DS, Musani SK, Li X, Trompet S, Krijthe BP, Harris TB, Quibrera PM, Brody JA, Demissie S, Davis BR, Wiggins KL, Tranah GJ, Lange LA, Sotoodehnia N, Stott DJ, Franco OH, et al.","PLoS One. 2015 Oct 30;10(10):e0140496. doi: 10.1371/journal.pone.0140496.","PLoS One.  2015","PubMed","citation","PMID:26516778 | PMCID:PMC4627813","pubmed","26516778","create date:2015/10/31 | first author:Bis JC",
"Plasma Adiponectin, clinical factors, and patient outcomes during the acute respiratory distress syndrome.","/pubmed/25259893","Walkey AJ, Demissie S, Shah D, Romero F, Puklin L, Summer RS.","PLoS One. 2014 Sep 26;9(9):e108561. doi: 10.1371/journal.pone.0108561.","PLoS One.  2014","PubMed","citation","PMID:25259893 | PMCID:PMC4178176","pubmed","25259893","create date:2014/09/27 | first author:Walkey AJ",
"Association of low-frequency and rare coding-sequence variants with blood lipids and coronary heart disease in 56,000 whites and blacks.","/pubmed/24507774","Peloso GM, Auer PL, Bis JC, Voorman A, Morrison AC, Stitziel NO, Brody JA, Khetarpal SA, Crosby JR, Fornage M, Isaacs A, Jakobsdottir J, Feitosa MF, Davies G, Huffman JE, Manichaikul A, Davis B, Lohman K, Joon AY, Smith AV, Grove ML, Zanoni P, et al.","Am J Hum Genet. 2014 Feb 6;94(2):223-32. doi: 10.1016/j.ajhg.2014.01.009.","Am J Hum Genet.  2014","PubMed","citation","PMID:24507774 | PMCID:PMC3928662","pubmed","24507774","create date:2014/02/11 | first author:Peloso GM",
"Genetics of coronary artery calcification among African Americans, a meta-analysis.","/pubmed/23870195","Wojczynski MK, Li M, Bielak LF, Kerr KF, Reiner AP, Wong ND, Yanek LR, Qu L, White CC, Lange LA, Ferguson JF, He J, Young T, Mosley TH, Smith JA, Kral BG, Guo X, Wong Q, Ganesh SK, Heckbert SR, Griswold ME, O'Leary DH, et al.","BMC Med Genet. 2013 Jul 19;14:75. doi: 10.1186/1471-2350-14-75.","BMC Med Genet.  2013","PubMed","citation","PMID:23870195 | PMCID:PMC3733595","pubmed","23870195","create date:2013/07/23 | first author:Wojczynski MK",
