Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Alcohol Involvement in Homicide Victimization in the United States.","/pubmed/27676334","Naimi TS, Xuan Z, Cooper SE, Coleman SM, Hadland SE, Swahn MH, Heeren TC.","Alcohol Clin Exp Res. 2016 Sep 27. doi: 10.1111/acer.13230.","Alcohol Clin Exp Res.  2016","PubMed","citation","PMID:27676334","pubmed","27676334","create date:2016/09/28 | first author:Naimi TS",
"Salivary caffeine concentrations are comparable to plasma concentrations in preterm infants receiving extended caffeine therapy.","/pubmed/27145974","Dobson NR, Liu X, Rhein LM, Darnall RA, Corwin MJ, McEntire BL, Ward RM, James LP, Sherwin CM, Heeren TC, Hunt CE.","Br J Clin Pharmacol. 2016 Sep;82(3):754-61. doi: 10.1111/bcp.13001.","Br J Clin Pharmacol.  2016","PubMed","citation","PMID:27145974","pubmed","27145974","create date:2016/05/06 | first author:Dobson NR",
"Trust in Sources of Advice about Infant Care Practices: The SAFE Study.","/pubmed/27129949","Hwang SS, Rybin DV, Heeren TC, Colson ER, Corwin MJ.","Matern Child Health J. 2016 Sep;20(9):1956-64. doi: 10.1007/s10995-016-2011-3.","Matern Child Health J.  2016","PubMed","citation","PMID:27129949","pubmed","27129949","create date:2016/05/01 | first author:Hwang SS",
"Infant Sleep Location and Breastfeeding Practices in the United States, 2011-2014.","/pubmed/26851615","Smith LA, Geller NL, Kellams AL, Colson ER, Rybin DV, Heeren T, Corwin MJ.","Acad Pediatr. 2016 Aug;16(6):540-9. doi: 10.1016/j.acap.2016.01.021.","Acad Pediatr.  2016","PubMed","citation","PMID:26851615","pubmed","26851615","create date:2016/02/07 | first author:Smith LA",
"Longitudinal and Reciprocal Relationships Between Depression and Disability in Older Women Caregivers and Noncaregivers.","/pubmed/26035874","Bacon KL, Heeren T, Keysor JJ, Stuver SO, Cauley JA, Fredman L.","Gerontologist. 2016 Aug;56(4):723-32. doi: 10.1093/geront/gnu157.","Gerontologist.  2016","PubMed","citation","PMID:26035874 | PMCID:PMC4944533","pubmed","26035874","create date:2015/06/03 | first author:Bacon KL",
"Postdischarge Feeding Interactions and Neurodevelopmental Outcome at 1-Year Corrected Gestational Age.","/pubmed/27178622","Parker MG, Rybin DV, Heeren TC, Thoyre SM, Corwin MJ.","J Pediatr. 2016 Jul;174:104-10. doi: 10.1016/j.jpeds.2016.03.074.","J Pediatr.  2016","PubMed","citation","PMID:27178622","pubmed","27178622","create date:2016/05/15 | first author:Parker MG",
"Girls and Boys Born before 28 Weeks Gestation: Risks of Cognitive, Behavioral, and Neurologic Outcomes at Age 10 Years.","/pubmed/27004675","Kuban KC, Joseph RM, O'Shea TM, Allred EN, Heeren T, Douglass L, Stafstrom CE, Jara H, Frazier JA, Hirtz D, Leviton A; Extremely Low Gestational Age Newborn (ELGAN) Study Investigators..","J Pediatr. 2016 Jun;173:69-75.e1. doi: 10.1016/j.jpeds.2016.02.048.","J Pediatr.  2016","PubMed","citation","PMID:27004675 | PMCID:PMC4884461","pubmed","27004675","create date:2016/03/24 | first author:Kuban KC",
"Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children.","/pubmed/26596189","Sun J, Knowles M, Patel F, Frank DA, Heeren TC, Chilton M.","Am J Prev Med. 2016 May;50(5):561-72. doi: 10.1016/j.amepre.2015.09.024.","Am J Prev Med.  2016","PubMed","citation","PMID:26596189","pubmed","26596189","create date:2015/11/26 | first author:Sun J",
"Risk Stratification and Shared Decision Making for Colorectal Cancer Screening: A Randomized Controlled Trial.","/pubmed/26785715","Schroy PC 3rd, Duhovic E, Chen CA, Heeren TC, Lopez W, Apodaca DL, Wong JB.","Med Decis Making. 2016 May;36(4):526-35. doi: 10.1177/0272989X15625622.","Med Decis Making.  2016","PubMed","citation","PMID:26785715 | PMCID:PMC4818180","pubmed","26785715","create date:2016/01/21 | first author:Schroy PC 3rd",
"Children with Special Health Care Needs, Supplemental Security Income, and Food Insecurity.","/pubmed/26836641","Rose-Jacobs R, Fiore JG, de Cuba SE, Black M, Cutts DB, Coleman SM, Heeren T, Chilton M, Casey P, Cook J, Frank DA.","J Dev Behav Pediatr. 2016 Feb-Mar;37(2):140-7. doi: 10.1097/DBP.0000000000000260.","J Dev Behav Pediatr.  2016","PubMed","citation","PMID:26836641","pubmed","26836641","create date:2016/02/03 | first author:Rose-Jacobs R",
"A Novel Parent Questionnaire for the Detection of Seizures in Children.","/pubmed/26552646","Douglass LM, Kuban K, Tarquinio D, Schraga L, Jonas R, Heeren T, DeBassio WA, Stafstrom CE, Heinrick RJ, Ferguson C, Blumberg L, Wong V.","Pediatr Neurol. 2016 Jan;54:64-69.e1. doi: 10.1016/j.pediatrneurol.2015.09.016.","Pediatr Neurol.  2016","PubMed","citation","PMID:26552646","pubmed","26552646","create date:2015/11/11 | first author:Douglass LM",
"Clinical Liver Disease Progression Among Hepatitis C-Infected Drug Users With CD4 Cell Count Less Than 200 Cells/mm(3) Is More Pronounced Among Women Than Men.","/pubmed/26955643","Baranoski AS, Cotton D, Heeren T, Nunes D, Kubiak RW, Horsburgh CR Jr.","Open Forum Infect Dis. 2015 Dec 31;3(1):ofv214. doi: 10.1093/ofid/ofv214.","Open Forum Infect Dis.  2015","PubMed","citation","PMID:26955643 | PMCID:PMC4777902","pubmed","26955643","create date:2016/03/10 | first author:Baranoski AS",
"The Health Effects of Masculine Self-Esteem Following Treatment for Localized Prostate Cancer Among Gay Men.","/pubmed/26698658","Allensworth-Davies D, Talcott JA, Heeren T, de Vries B, Blank TO, Clark JA.","LGBT Health. 2015 Dec 24.","LGBT Health.  2015","PubMed","citation","PMID:26698658 | PMCID:PMC4770849","pubmed","26698658","create date:2015/12/25 | first author:Allensworth-Davies D",
"Parental monitoring and family relations: associations with drinking patterns among male and female Mexican students.","/pubmed/26256470","Strunin L, Rosa Díaz-Martínez L, Díaz-Martínez A, Heeren T, Winter M, Kuranz S, Hernández-Ávila CA, Fernández-Varela H, Solís-Torres C.","Addict Behav. 2015 Dec;51:143-51. doi: 10.1016/j.addbeh.2015.07.025.","Addict Behav.  2015","PubMed","citation","PMID:26256470 | PMCID:PMC4558234","pubmed","26256470","create date:2015/08/11 | first author:Strunin L",
"Alcohol Policies and Alcoholic Cirrhosis Mortality in the United States.","/pubmed/26469950","Hadland SE, Xuan Z, Blanchette JG, Heeren TC, Swahn MH, Naimi TS.","Prev Chronic Dis. 2015 Oct 15;12:E177. doi: 10.5888/pcd12.150200.","Prev Chronic Dis.  2015","PubMed","citation","PMID:26469950 | PMCID:PMC4611859","pubmed","26469950","create date:2015/10/16 | first author:Hadland SE",
