Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Ameliorating Maternal Depression and Its Harmful Consequences for Low-Income Families: Primary Care to the Rescue?","/pubmed/27772696","Garg A, Toy S, Tripodis Y, Cook J, Cordella N.","Acad Pediatr. 2016 Nov - Dec;16(8):714-715. doi: 10.1016/j.acap.2016.08.003. No abstract available. ","Acad Pediatr.  2016","PubMed","citation","PMID:27772696","pubmed","27772696","create date:2016/10/25 | first author:Garg A",
"Practice Effects on Story Memory and List Learning Tests in the Neuropsychological Assessment of Older Adults.","/pubmed/27711147","Gavett BE, Gurnani AS, Saurman JL, Chapman KR, Steinberg EG, Martin B, Chaisson CE, Mez J, Tripodis Y, Stern RA.","PLoS One. 2016 Oct 6;11(10):e0164492. doi: 10.1371/journal.pone.0164492.","PLoS One.  2016","PubMed","citation","PMID:27711147","pubmed","27711147","create date:2016/10/07 | first author:Gavett BE",
"Fear of cancer recurrence in survivor and caregiver dyads: differences by sexual orientation and how dyad members influence each other.","/pubmed/26899851","Boehmer U, Tripodis Y, Bazzi AR, Winter M, Clark MA.","J Cancer Surviv. 2016 Oct;10(5):802-13. doi: 10.1007/s11764-016-0526-7.","J Cancer Surviv.  2016","PubMed","citation","PMID:26899851","pubmed","26899851","create date:2016/02/24 | first author:Boehmer U",
"Office-Based Assessment of At-Risk Driving in Older Adults With and Without Cognitive Impairment.","/pubmed/27647790","Stern RA, Abularach LM, Seichepine DR, Alosco ML, Gavett BE, Tripodis Y.","J Geriatr Psychiatry Neurol. 2016 Sep 19. pii: 0891988716666378.","J Geriatr Psychiatry Neurol.  2016","PubMed","citation","PMID:27647790","pubmed","27647790","create date:2016/09/21 | first author:Stern RA",
"Estimating State-Specific Contributions to PM(2.5)- and O(3)-Related Health Burden from Residential Combustion and Electricity Generating Unit Emissions in the United States.","/pubmed/27586513","Penn SL, Arunachalam S, Woody M, Heiger-Bernays W, Tripodis Y, Levy JI.","Environ Health Perspect. 2016 Sep 2.","Environ Health Perspect.  2016","PubMed","citation","PMID:27586513","pubmed","27586513","create date:2016/09/03 | first author:Penn SL",
"Olfactory Function and Associated Clinical Correlates in Former National Football League Players.","/pubmed/27430424","Alosco ML, Jarnagin J, Tripodis Y, Platt M, Martin B, Chaisson CE, Baugh CM, Fritts NG, Cantu RC, Stern RA.","J Neurotrauma. 2016 Aug 11.","J Neurotrauma.  2016","PubMed","citation","PMID:27430424","pubmed","27430424","create date:2016/07/20 | first author:Alosco ML",
"Impacts of religious semantic priming on an intertemporal discounting task: Response time effects and neural correlates.","/pubmed/27450269","Morgan J, Clark D, Tripodis Y, Halloran CS, Minsky A, Wildman WJ, Durso R, McNamara P.","Neuropsychologia. 2016 Aug;89:403-13. doi: 10.1016/j.neuropsychologia.2016.07.020.","Neuropsychologia.  2016","PubMed","citation","PMID:27450269","pubmed","27450269","create date:2016/07/28 | first author:Morgan J",
"Socioeconomic and Racial Disparities in the Parental Perception and Experience of Having a Medical Home: 2007 to 2011-2012.","/pubmed/27457406","Diao K, Tripodis Y, Long WE, Garg A.","Acad Pediatr. 2016 Jul 22. pii: S1876-2859(16)30372-2. doi: 10.1016/j.acap.2016.07.006.","Acad Pediatr.  2016","PubMed","citation","PMID:27457406","pubmed","27457406","create date:2016/07/28 | first author:Diao K",
"The impact of non-fatal workplace injuries and illnesses on mortality.","/pubmed/27427538","Boden LI, O'Leary PK, Applebaum KM, Tripodis Y.","Am J Ind Med. 2016 Jul 18. doi: 10.1002/ajim.22632.","Am J Ind Med.  2016","PubMed","citation","PMID:27427538","pubmed","27427538","create date:2016/07/19 | first author:Boden LI",
"Screening Utility of the King-Devick Test in Mild Cognitive Impairment and Alzheimer Disease Dementia.","/pubmed/27299935","Galetta KM, Chapman KR, Essis MD, Alosco ML, Gillard D, Steinberg E, Dixon D, Martin B, Chaisson CE, Kowall NW, Tripodis Y, Balcer LJ, Stern RA.","Alzheimer Dis Assoc Disord. 2016 Jun 13.","Alzheimer Dis Assoc Disord.  2016","PubMed","citation","PMID:27299935","pubmed","27299935","create date:2016/06/15 | first author:Galetta KM",
